refcode,title,year
YAM96A,"Yamada, M.M., Bartley, B.G.D., Lopes, U.V. & Pinto, L.R.M. (1996) Heranca do fator compatibilidade em Theobroma cacao L. II. Relacoes fenotipicas em genotipos adicionais grupo Parinari (PA).  Agrotropica 8 (2): 51-52.",1996
BAR58A,"Bartley, B.G.D. (1958) Trinitario-Scavina hybrids - new prospects for cocoa improvement.  In: Proceedings of the 1957 Cocoa Conference, London. Cocoa, Chocolate and Confectionery Alliance, London, U.K. pp. 36-40.",1958
PAU08A,"Paulin, D., Ducamp, M. & Lachenaud, P. (2008) New sources of resistance to Phytophthora megakarya identified in wild cocoa tree populations of French Guiana.  Crop Protection. 27: pp 1143–1147.",2008
BON89A,"Bong, C.L. & Phua, P.K. (1989) Screening of hybrid materials for resistance to VSD.  In: Research on Cocoa VSD in Sabah. Technical Bulletin No. 9, Dept. of Agriculture, Sabah, Malaysia. pp. 43-39.",1989
POS45A,"Posnette, A.F. (1945) Incompatibility in Amazon cacao.  Tropical Agriculture (Trinidad) 22: pp. 184-187.",1945
ITO59A,"Iton, E.F. (1959) Studies on a wilt disease of cacao at River Estate.  A Report on Cacao Research, 1957-1958. The Regional Research Centre of the British Caribbean.",1959
GUE03A,"K. F. N’Guessan, A. B. Eskes & Ph. Lachenaud (2003) Etude de la Resistance du Cacaoyer aux Mirides : Classification des Grands Groupes de Cacaoyers en Fonction de Leur Niveau de Resistance ou Sensibilite.  In: Proceedings of the 14th International Cocoa Research Conference, Accra, Ghana (October 2003). Cocoa Producers' Alliance, Lagos, Nigeria.",2003
CHO87A,"Chong, C.F. (1987) Characteristics of Prang Besar cocoa clones.  SASS Seminar: Palm Kernel Utilization and Recent Advances in Cocoa Cultivation, Sabah, Malaysia, 1987.",1987
INI20B,INIA (2020) MINAGRI DESARROLLA MÁS 7 MIL PLANTONES DE CACAO DE ALTA CALIDAD PARA SATIPO Y CHACHAMAYO [Minagri Develops More Than 7 Thousand High Quality Cocoa Seedlings for Satipo and Chachamayo].  INIA Website,2020
CAS89A,"Castro, G.C.T. de, Pereira, T.N.S., Carletto, G.A. & Bartley, B.G.D. (1989) Caracterizacao dos recursos geneticos do cacaueiro. III. Flor das selecoes CEPEC,EEG, BE, MA, RB, CA e CAS.  Agrotrópica 1: pp. 27-33.",1989
PHI97A,"Phillips, W. (1997) Results of the artificial inoculation of Moniliophthora rorei using the Aspersion method.  Unpublished data supplied by W. Phillips, CATIE, Costa Rica. Personal communication",1997
LIM92A,"Lim, C.H. (1992) Data from Kumpulan Guthrie Bhd.  In: Unpublished Proceedings of MCGC Mini-Seminar on the Performance of Imported Cocoa Clones, 13th October, 1992. Kuala Lumpur, Malaysia.",1992
LUZ97A,"Luz, E.D.M.N. & Silva, S.D.V.M. (1997) Evaluating resistance/tolerance to Witches' Broom disease in Bahia, Brazil.  Final Report to ACRI. CEPLAC/CEPEC, February, 1997. pp. 56. Data supplied to ICGD by Luz & Silva.",1997
BON95A,"Bong, C.L., Tay, E.B., Lee, M.T. & Chong, T.C. (1995) Comparative study on cultural practices and planting materials in the management of vascular streak dieback and productivity in cocoa.  In: Proceedings of the 11th International Cocoa Research Conference, Yammoussoukro, Cote d'Ivoire 1993. Cocoa Producers' Alliance, Lagos, Nigeria. pp. 197-203.",1995
LEW18A,"Lewis, Caleb, Adrian M. Lennon, Gaius Eudoxie & Pathmanathan Umaharan (2018) Genetic variation in bioaccumulation and partitioning of cadmium in Theobroma cacao L.  Science of the Total Environment 640–641, 696–703",2018
SRE80A,"Sreenivasan, T.N. (1980) Screening for resistance to Black Pod.  Cocoa Research Unit Annual Report on Cocoa Research 1975-1980. University of the West Indies, Trinidad. p.16.",1980
LUZ95A,"Luz, E.D.M.N., Silva, S.D.V.M., Yamada, M.M., Lopes, U.V., Braga, M.C.T. & Brugnerotto, M.I.B. (1995) Cacao cultivars selected for resistance to Phytophthora capsici, P. palmivora and P. citrophthora in Bahia, Brazil.  In: Proceedings of the 11th International Cocoa Research Conference, Yammoussoukro, Cote d'Ivoire, 1993. Cocoa Producers' Alliance, Lagos, Nigeria. pp. 97-98.",1995
IWA06A,"A.D. Iwaro, D.R. Butler & A.B. Eskes (2006) Sources of resistance to Phytophthora pod rot at the International Cocoa Genebank, Trinidad.  Genetic Resources and Crop Evolution (2006) 53: 99–109",2006
LOP96A,"Lopez-Baez, O., Fraire, V.G. & Cueto, M.J. (1996) Mejoramiento genetico para la resistencia a Phytophthora en Mexico.  Proceedings of the International Workshop on the Contribution of Disease Resistance to Cocoa Variety Improvement, INGENIC, Salvador, 24th-26th September, 1996. pp.51-55.",1996
IWA98B,"Iwaro, D. (1998) Evalation of accessions for Black Pod.  Personal Communication 30th October 1998. Data sent by email from Dr. Iwaro.",1998
GON07A,"A. González & M. Ventura (2007) Autocompatibilidad Sexual de Clones de Cacao (Theobroma cacao L.).  In: Resultados de investigación en cacao. IDIAF, 2007",2007
IWA97A,"Iwaro, D., Sreenivasan, T.N. & Umaharan, P. (1997) Phytophthora resistance in cacao (Theobroma cacao): Influence of pod morphological characteristics.  Plant Pathology 46: pp. 557-565",1997
