SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource,Tree ID,Refcode,BioProject,Repository,Fastq,Focus of study,Notes,Analysis
UF_676,UF 676,genomic,SRR7774284 NCBI ENA,SRX4629540,SAMN09934578,Costa Rica,Tc13037,COR18A,,,,,,
UF12,UF 12,genomic,SRR7774247 NCBI ENA,SRX4629577,SAMN09934573,Costa Rica,17434,COR18A,,,,,,
UF273_T1,UF 273,genomic,SRR7774244 NCBI ENA,SRX4629580,SAMN09934574,Costa Rica,-,COR18A,,,,,,
UF273_T2,UF 273,genomic,SRR7774245 NCBI ENA,SRX4629579,SAMN09934575,Costa Rica,-,COR18A,,,,,,
UNAP2_G78_A2,UNAP 2 [CHA],genomic,SRR7774283 NCBI ENA,SRX4629541,SAMN09934579,Ecuador,-,COR18A,,,,,,
IMC 67 Iquitos,IMC 67,genomic,SRR25256511 NCBI ENA,SRX21002557,SAMN35802815,USDA,,NEB23A,,,,,,
Pound 7 Nanay,POUND 7,genomic,SRR25256512 NCBI ENA,SRX21002556,SAMN35802834,USDA,,NEB23A,,,,,,
SCA 6 Ucayalli Contamana,SCA 6,genomic,SRR25256510 NCBI ENA,SRX21002558,SAMN35707475,USDA,,NEB23A,,,,,,
,,genomic & transcriptomic,,,,,,GUI19A,PRJNA558793,NCBI ENA,y,disease reaction,,
,,genomic,,,,,,GAR22A,PRJNA857502,NCBI ENA,y,somatic embryo abnormalities,,
,,transcriptomic,,,,,,BAR22A,PRJNA785999,NCBI ENA,y,disease reaction,,
B_240,B 240 [POU],genomic,SRR21562213 NCBI ENA,SRX17564366,SAMN30841383,,,ARG23A,,,,,,
B_97-61-B2,B 97 61 /B-2 [BLZ],genomic,SRR21562212 NCBI ENA,SRX17564367,SAMN30841384,,,ARG23A,,,,,,
B97_EX1_C3,B 97 Ex 1 /C-3 [BLZ],genomic,SRR21562117 NCBI ENA,SRX17564462,SAMN30841385,,,ARG23A,,,,,,
CACAO_2,CACAO 2,genomic,SRR21562109 NCBI ENA,SRX17564470,SAMN30841386,,,ARG23A,,,,,,
Catongo,CATONGO,genomic,SRR21562180 NCBI ENA,SRX17564399,SAMN30841387,,,ARG23A,,,,,,
COL_10,COL 10 [COL],genomic,SRR21562168 NCBI ENA,SRX17564411,SAMN30841388,,,ARG23A,,,,,,
CSUL_3,C SUL 3,genomic,SRR21562101 NCBI ENA,SRX17564478,SAMN30841389,,,ARG23A,,,,,,
CSUL_7,C SUL 7,genomic,SRR21562088 NCBI ENA,SRX17564491,SAMN30841390,,,ARG23A,,,,,,
EBC_10_401,EBC 10 /S-401,genomic,SRR21562049 NCBI ENA,SRX17564530,SAMN30841391,,,ARG23A,,,,,,
EBC_121_S1,EBC 121 /S-1,genomic,SRR21562039 NCBI ENA,SRX17564540,SAMN30841392,,,ARG23A,,,,,,
EBC_122,EBC 122,genomic,SRR21562211 NCBI ENA,SRX17564368,SAMN30841393,,,ARG23A,,,,,,
EBC_125_59,EBC 125 /S-9,genomic,SRR21562200 NCBI ENA,SRX17564379,SAMN30841394,,,ARG23A,,,,,,
EBC_126,EBC 126,genomic,SRR21562189 NCBI ENA,SRX17564390,SAMN30841395,,,ARG23A,,,,,,
EBC_133,EBC 133,genomic,SRR21562152 NCBI ENA,SRX17564427,SAMN30841396,,,ARG23A,,,,,,
EBC_135_1,EBC 135 /S-1,genomic,SRR21562141 NCBI ENA,SRX17564438,SAMN30841397,,,ARG23A,,,,,,
EBC_135_2,EBC 135 /S-2,genomic,SRR21562076 NCBI ENA,SRX17564503,SAMN30841398,,,ARG23A,,,,,,
EBC_142,EBC 142,genomic,SRR21562057 NCBI ENA,SRX17564522,SAMN30841399,,,ARG23A,,,,,,
EBC_147_S2,EBC 147 /S-2,genomic,SRR21562068 NCBI ENA,SRX17564511,SAMN30841400,,,ARG23A,,,,,,
EBC_148_S401,EBC 148 /S-401,genomic,SRR21562127 NCBI ENA,SRX17564452,SAMN30841401,,,ARG23A,,,,,,
EBC_148_S9,EBC 148 /S-9,genomic,SRR21562118 NCBI ENA,SRX17564461,SAMN30841402,,,ARG23A,,,,,,
EBC_251,EBC 251,genomic,SRR21562116 NCBI ENA,SRX17564463,SAMN30841403,,,ARG23A,,,,,,
EBC_29,EBC 29,genomic,SRR21562115 NCBI ENA,SRX17564464,SAMN30841404,,,ARG23A,,,,,,
EBC_30,EBC 30,genomic,SRR21562114 NCBI ENA,SRX17564465,SAMN30841405,,,ARG23A,,,,,,
EBC_38_S15,EBC 38 /S-15,genomic,SRR21562113 NCBI ENA,SRX17564466,SAMN30841406,,,ARG23A,,,,,,
EBC_48,EBC 48,genomic,SRR21562176 NCBI ENA,SRX17564403,SAMN30841407,,,ARG23A,,,,,,
EBC_5,EBC 5,genomic,SRR21562175 NCBI ENA,SRX17564404,SAMN30841408,,,ARG23A,,,,,,
EBC_6_401,EBC 6 /S-401,genomic,SRR21562174 NCBI ENA,SRX17564405,SAMN30841409,,,ARG23A,,,,,,
EBC_6_S10,EBC 6 /S-10,genomic,SRR21562173 NCBI ENA,SRX17564406,SAMN30841410,,,ARG23A,,,,,,
EBC_9_A2,EBC 9 A2,genomic,SRR21562172 NCBI ENA,SRX17564407,SAMN30841411,,,ARG23A,,,,,,
EBC_91,EBC 91,genomic,SRR21562110 NCBI ENA,SRX17564469,SAMN30841412,,,ARG23A,,,,,,
EET_103,EET 103 [ECU],genomic,SRR21562108 NCBI ENA,SRX17564471,SAMN30841413,,,ARG23A,,,,,,
EET_416,EET 416 [ECU],genomic,SRR21562107 NCBI ENA,SRX17564472,SAMN30841414,,,ARG23A,,,,,,
ELP_15,ELP 15,genomic,SRR21562106 NCBI ENA,SRX17564473,SAMN30841415,,,ARG23A,,,,,,
GU_134_B,GU 134 /B,genomic,SRR21562105 NCBI ENA,SRX17564474,SAMN30841416,,,ARG23A,,,,,,
GU_278_A,GU 278 /A,genomic,SRR21562104 NCBI ENA,SRX17564475,SAMN30841417,,,ARG23A,,,,,,
GUAY_1,GUAY 1,genomic,SRR21562185 NCBI ENA,SRX17564394,SAMN30841418,,,ARG23A,,,,,,
GUAY_2,GUAY 2,genomic,SRR21562184 NCBI ENA,SRX17564395,SAMN30841419,,,ARG23A,,,,,,
HE_4,HE 4,genomic,SRR21562183 NCBI ENA,SRX17564396,SAMN30841420,,,ARG23A,,,,,,
IMC_48,IMC 48,genomic,SRR21562182 NCBI ENA,SRX17564397,SAMN30841421,,,ARG23A,,,,,,
IMC_63,IMC 63,genomic,SRR21562181 NCBI ENA,SRX17564398,SAMN30841422,,,ARG23A,,,,,,
IMC_65,IMC 65,genomic,SRR21562179 NCBI ENA,SRX17564400,SAMN30841423,,,ARG23A,,,,,,
IMC_67,IMC 67,genomic,SRR21562178 NCBI ENA,SRX17564401,SAMN30841424,,,ARG23A,,,,,,
Kapawi_1,Kapawi 1,genomic,SRR21562177 NCBI ENA,SRX17564402,SAMN30841425,,,ARG23A,,,,,,
KER_6,KER 6,genomic,SRR21562099 NCBI ENA,SRX17564480,SAMN30841426,,,ARG23A,,,,,,
LAN_7,LAN 7,genomic,SRR21562098 NCBI ENA,SRX17564481,SAMN30841427,,,ARG23A,,,,,,
LCTEEN_122,LCT EEN 122,genomic,SRR21562094 NCBI ENA,SRX17564485,SAMN30841428,,,ARG23A,,,,,,
LCTEEN_163_A,LCT EEN 163 /A,genomic,SRR21562093 NCBI ENA,SRX17564486,SAMN30841429,,,ARG23A,,,,,,
LCTEEN_188,LCT EEN 188,genomic,SRR21562171 NCBI ENA,SRX17564408,SAMN30841430,,,ARG23A,,,,,,
LCTEEN_189,LCT EEN 189,genomic,SRR21562170 NCBI ENA,SRX17564409,SAMN30841431,,,ARG23A,,,,,,
LCTEEN_193,LCT EEN 193,genomic,SRR21562169 NCBI ENA,SRX17564410,SAMN30841432,,,ARG23A,,,,,,
LCTEEN_195,LCT EEN 195,genomic,SRR21562167 NCBI ENA,SRX17564412,SAMN30841433,,,ARG23A,,,,,,
LCTEEN_201,LCT EEN 201,genomic,SRR21562166 NCBI ENA,SRX17564413,SAMN30841434,,,ARG23A,,,,,,
LCTEEN_212_S4,LCT EEN 212 /S-4,genomic,SRR21562165 NCBI ENA,SRX17564414,SAMN30841435,,,ARG23A,,,,,,
LCTEEN_215,LCT EEN 215,genomic,SRR21562164 NCBI ENA,SRX17564415,SAMN30841436,,,ARG23A,,,,,,
LCTEEN_218,LCT EEN 218,genomic,SRR21562163 NCBI ENA,SRX17564416,SAMN30841437,,,ARG23A,,,,,,
LCTEEN_220,LCT EEN 220,genomic,SRR21562162 NCBI ENA,SRX17564417,SAMN30841438,,,ARG23A,,,,,,
LCTEEN_221,LCT EEN 221,genomic,SRR21562161 NCBI ENA,SRX17564418,SAMN30841439,,,ARG23A,,,,,,
LCTEEN_227,LCT EEN 227,genomic,SRR21562160 NCBI ENA,SRX17564419,SAMN30841440,,,ARG23A,,,,,,
LCTEEN_246,LCT EEN 246,genomic,SRR21562103 NCBI ENA,SRX17564476,SAMN30841441,,,ARG23A,,,,,,
LCTEEN_249,LCT EEN 249,genomic,SRR21562102 NCBI ENA,SRX17564477,SAMN30841442,,,ARG23A,,,,,,
LCTEEN_255,LCT EEN 255,genomic,SRR21562100 NCBI ENA,SRX17564479,SAMN30841443,,,ARG23A,,,,,,
LCTEEN_261_S1,LCT EEN 261 /S-1,genomic,SRR21562097 NCBI ENA,SRX17564482,SAMN30841444,,,ARG23A,,,,,,
LCTEEN_267,LCT EEN 267,genomic,SRR21562096 NCBI ENA,SRX17564483,SAMN30841445,,,ARG23A,,,,,,
LCTEEN_30,LCT EEN 30,genomic,SRR21562095 NCBI ENA,SRX17564484,SAMN30841446,,,ARG23A,,,,,,
LCTEEN_31,LCT EEN 31,genomic,SRR21562044 NCBI ENA,SRX17564535,SAMN30841447,,,ARG23A,,,,,,
LCTEEN_312,LCT EEN 312,genomic,SRR21562043 NCBI ENA,SRX17564536,SAMN30841448,,,ARG23A,,,,,,
LCTEEN_325,LCT EEN 325,genomic,SRR21562092 NCBI ENA,SRX17564487,SAMN30841449,,,ARG23A,,,,,,
LCTEEN_332,LCT EEN 332,genomic,SRR21562091 NCBI ENA,SRX17564488,SAMN30841450,,,ARG23A,,,,,,
LCTEEN_333,LCT EEN 333,genomic,SRR21562090 NCBI ENA,SRX17564489,SAMN30841451,,,ARG23A,,,,,,
LCTEEN_334,LCT EEN 334,genomic,SRR21562089 NCBI ENA,SRX17564490,SAMN30841452,,,ARG23A,,,,,,
LCTEEN_36,LCT EEN 36,genomic,SRR21562087 NCBI ENA,SRX17564492,SAMN30841453,,,ARG23A,,,,,,
LCTEEN_362,LCT EEN 362,genomic,SRR21562086 NCBI ENA,SRX17564493,SAMN30841454,,,ARG23A,,,,,,
LCTEEN_368,LCT EEN 368,genomic,SRR21562085 NCBI ENA,SRX17564494,SAMN30841455,,,ARG23A,,,,,,
LCTEEN_37,LCT EEN 37,genomic,SRR21562084 NCBI ENA,SRX17564495,SAMN30841456,,,ARG23A,,,,,,
LCTEEN_372,LCT EEN 372,genomic,SRR21562083 NCBI ENA,SRX17564496,SAMN30841457,,,ARG23A,,,,,,
LCTEEN_403,LCT EEN 403,genomic,SRR21562082 NCBI ENA,SRX17564497,SAMN30841458,,,ARG23A,,,,,,
LCTEEN_411,LCT EEN 411,genomic,SRR21562081 NCBI ENA,SRX17564498,SAMN30841459,,,ARG23A,,,,,,
LCTEEN_413,LCT EEN 413,genomic,SRR21562080 NCBI ENA,SRX17564499,SAMN30841460,,,ARG23A,,,,,,
LCTEEN_414,LCT EEN 414,genomic,SRR21562079 NCBI ENA,SRX17564500,SAMN30841461,,,ARG23A,,,,,,
LCTEEN_415,LCT EEN 415,genomic,SRR21562078 NCBI ENA,SRX17564501,SAMN30841462,,,ARG23A,,,,,,
LCTEEN_57,LCT EEN 57,genomic,SRR21562048 NCBI ENA,SRX17564531,SAMN30841463,,,ARG23A,,,,,,
LCTEEN_63,LCT EEN 63,genomic,SRR21562047 NCBI ENA,SRX17564532,SAMN30841464,,,ARG23A,,,,,,
LCTEEN_66,LCT EEN 66,genomic,SRR21562046 NCBI ENA,SRX17564533,SAMN30841465,,,ARG23A,,,,,,
LCTEEN_68_S2,LCT EEN 68 /S-2,genomic,SRR21562045 NCBI ENA,SRX17564534,SAMN30841466,,,ARG23A,,,,,,
LCTEEN_81,LCT EEN 81,genomic,SRR21562028 NCBI ENA,SRX17564551,SAMN30841467,,,ARG23A,,,,,,
LCTEEN_82,LCT EEN 82,genomic,SRR21562027 NCBI ENA,SRX17564552,SAMN30841468,,,ARG23A,,,,,,
LCTEEN_85,LCT EEN 85,genomic,SRR21562026 NCBI ENA,SRX17564553,SAMN30841469,,,ARG23A,,,,,,
LCTEEN_86,LCT EEN 86,genomic,SRR21562042 NCBI ENA,SRX17564537,SAMN30841470,,,ARG23A,,,,,,
LCTEEN_90_S7,LCT EEN 90 /S-7,genomic,SRR21562041 NCBI ENA,SRX17564538,SAMN30841471,,,ARG23A,,,,,,
LCTEEN_91,LCT EEN 91,genomic,SRR21562040 NCBI ENA,SRX17564539,SAMN30841472,,,ARG23A,,,,,,
LIB_3,LIB 3,genomic,SRR21562038 NCBI ENA,SRX17564541,SAMN30841473,,,ARG23A,,,,,,
Mat1-6,MATINA 1 /6,genomic,SRR21562037 NCBI ENA,SRX17564542,SAMN30841474,,,ARG23A,,,,,,
MO_121,MO 121,genomic,SRR21562036 NCBI ENA,SRX17564543,SAMN30841475,,,ARG23A,,,,,,
MO_76,MO 76,genomic,SRR21562035 NCBI ENA,SRX17564544,SAMN30841476,,,ARG23A,,,,,,
MO_96,MO 96,genomic,SRR21562034 NCBI ENA,SRX17564545,SAMN30841477,,,ARG23A,,,,,,
NA_127,NA 127,genomic,SRR21562033 NCBI ENA,SRX17564546,SAMN30841478,,,ARG23A,,,,,,
NA_435,NA 435,genomic,SRR21562032 NCBI ENA,SRX17564547,SAMN30841479,,,ARG23A,,,,,,
NA_672,NA 672,genomic,SRR21562031 NCBI ENA,SRX17564548,SAMN30841480,,,ARG23A,,,,,,
NA_697,NA 697,genomic,SRR21562030 NCBI ENA,SRX17564549,SAMN30841481,,,ARG23A,,,,,,
Nank_3,Nank 3,genomic,SRR21562029 NCBI ENA,SRX17564550,SAMN30841482,,,ARG23A,,,,,,
Nank_5,Nank 5,genomic,SRR21562210 NCBI ENA,SRX17564369,SAMN30841483,,,ARG23A,,,,,,
NUPA_1,NUPA 1,genomic,SRR21562209 NCBI ENA,SRX17564370,SAMN30841484,,,ARG23A,,,,,,
NUPA_2,NUPA 2,genomic,SRR21562208 NCBI ENA,SRX17564371,SAMN30841485,,,ARG23A,,,,,,
PA_126,PA 126 [PER],genomic,SRR21562207 NCBI ENA,SRX17564372,SAMN30841486,,,ARG23A,,,,,,
PA_191,PA 191 [PER],genomic,SRR21562206 NCBI ENA,SRX17564373,SAMN30841487,,,ARG23A,,,,,,
PA_293,PA 293 [PER],genomic,SRR21562205 NCBI ENA,SRX17564374,SAMN30841488,,,ARG23A,,,,,,
PA_296,PA 296 [PER],genomic,SRR21562204 NCBI ENA,SRX17564375,SAMN30841489,,,ARG23A,,,,,,
PAL13_A1,PAL13 A1,genomic,SRR21562203 NCBI ENA,SRX17564376,SAMN30841490,,,ARG23A,,,,,,
PAL15_A1,PAL15 A1,genomic,SRR21562202 NCBI ENA,SRX17564377,SAMN30841491,,,ARG23A,,,,,,
PAL35_A5,PAL35 A5,genomic,SRR21562201 NCBI ENA,SRX17564378,SAMN30841492,,,ARG23A,,,,,,
PAL8_A1,PAL8 A1,genomic,SRR21562199 NCBI ENA,SRX17564380,SAMN30841493,,,ARG23A,,,,,,
PAL9_A2,PAL9 A2,genomic,SRR21562198 NCBI ENA,SRX17564381,SAMN30841494,,,ARG23A,,,,,,
Pang_10,Pang 10,genomic,SRR21562197 NCBI ENA,SRX17564382,SAMN30841495,,,ARG23A,,,,,,
Pang_11,Pang 11,genomic,SRR21562196 NCBI ENA,SRX17564383,SAMN30841496,,,ARG23A,,,,,,
Pang_12,Pang 12,genomic,SRR21562195 NCBI ENA,SRX17564384,SAMN30841497,,,ARG23A,,,,,,
Pang_15,Pang 15,genomic,SRR21562194 NCBI ENA,SRX17564385,SAMN30841498,,,ARG23A,,,,,,
Pang_16,Pang 16,genomic,SRR21562193 NCBI ENA,SRX17564386,SAMN30841499,,,ARG23A,,,,,,
Pang_18,Pang 18,genomic,SRR21562192 NCBI ENA,SRX17564387,SAMN30841500,,,ARG23A,,,,,,
Pang_21,Pang 21,genomic,SRR21562191 NCBI ENA,SRX17564388,SAMN30841501,,,ARG23A,,,,,,
Pang_24,Pang 24,genomic,SRR21562190 NCBI ENA,SRX17564389,SAMN30841502,,,ARG23A,,,,,,
Pang_6,Pang 6,genomic,SRR21562188 NCBI ENA,SRX17564391,SAMN30841503,,,ARG23A,,,,,,
Pang_9,Pang 9,genomic,SRR21562187 NCBI ENA,SRX17564392,SAMN30841504,,,ARG23A,,,,,,
PER_2,PER 2,genomic,SRR21562186 NCBI ENA,SRX17564393,SAMN30841505,,,ARG23A,,,,,,
RB_29,RB 29 [BRA],genomic,SRR21562159 NCBI ENA,SRX17564420,SAMN30841506,,,ARG23A,,,,,,
RB_33_3,RB 33 /3 [BRA],genomic,SRR21562158 NCBI ENA,SRX17564421,SAMN30841507,,,ARG23A,,,,,,
RB_37,RB 37 [BRA],genomic,SRR21562157 NCBI ENA,SRX17564422,SAMN30841508,,,ARG23A,,,,,,
RB_41,RB 41 [BRA],genomic,SRR21562156 NCBI ENA,SRX17564423,SAMN30841509,,,ARG23A,,,,,,
RB_43,RB 43 [BRA],genomic,SRR21562155 NCBI ENA,SRX17564424,SAMN30841510,,,ARG23A,,,,,,
RB_46,RB 46 [BRA],genomic,SRR21562154 NCBI ENA,SRX17564425,SAMN30841511,,,ARG23A,,,,,,
RB_48,RB 48 [BRA],genomic,SRR21562153 NCBI ENA,SRX17564426,SAMN30841512,,,ARG23A,,,,,,
RB_49,RB 49 [BRA],genomic,SRR21562151 NCBI ENA,SRX17564428,SAMN30841513,,,ARG23A,,,,,,
SA_16,SA 16 [BRA],genomic,SRR21562150 NCBI ENA,SRX17564429,SAMN30841514,,,ARG23A,,,,,,
SCA_11,SCA 11,genomic,SRR21562149 NCBI ENA,SRX17564430,SAMN30841515,,,ARG23A,,,,,,
SCA_12,SCA 12,genomic,SRR21562148 NCBI ENA,SRX17564431,SAMN30841516,,,ARG23A,,,,,,
SCA_5,SCA 5,genomic,SRR21562147 NCBI ENA,SRX17564432,SAMN30841517,,,ARG23A,,,,,,
SCA_6,SCA 6,genomic,SRR21562146 NCBI ENA,SRX17564433,SAMN30841518,,,ARG23A,,,,,,
SHAI_001,SHAI 001,genomic,SRR21562145 NCBI ENA,SRX17564434,SAMN30841519,,,ARG23A,,,,,,
SHAI_004,SHAI 004,genomic,SRR21562144 NCBI ENA,SRX17564435,SAMN30841520,,,ARG23A,,,,,,
SHAM_2,SHAM 2,genomic,SRR21562143 NCBI ENA,SRX17564436,SAMN30841521,,,ARG23A,,,,,,
SHAM_4,SHAM 4,genomic,SRR21562142 NCBI ENA,SRX17564437,SAMN30841522,,,ARG23A,,,,,,
SJU_3,SJU 3,genomic,SRR21562140 NCBI ENA,SRX17564439,SAMN30841523,,,ARG23A,,,,,,
SNA_1001,SNA 1001,genomic,SRR21562139 NCBI ENA,SRX17564440,SAMN30841524,,,ARG23A,,,,,,
SNA_1003,SNA 1003,genomic,SRR21562138 NCBI ENA,SRX17564441,SAMN30841525,,,ARG23A,,,,,,
SNA_604,SNA 604,genomic,SRR21562137 NCBI ENA,SRX17564442,SAMN30841526,,,ARG23A,,,,,,
SP_1,SP 1 [VEN],genomic,SRR21562136 NCBI ENA,SRX17564443,SAMN30841527,,,ARG23A,,,,,,
SP_10,SP 10 [VEN],genomic,SRR21562135 NCBI ENA,SRX17564444,SAMN30841528,,,ARG23A,,,,,,
T_5,T 5 [PER],genomic,SRR21562134 NCBI ENA,SRX17564445,SAMN30841529,,,ARG23A,,,,,,
T_bicolor_22347,T BICOLOR,genomic,SRR21562121 NCBI ENA,SRX17564458,SAMN30841568,,,ARG23A,,,,,,
T_grandiflora_2157,T GRANDIFLORA,genomic,SRR21562119 NCBI ENA,SRX17564460,SAMN30841570,,,ARG23A,,,,,,
T_speciosa_4713,T SPECIOSUM,genomic,SRR21562120 NCBI ENA,SRX17564459,SAMN30841569,,,ARG23A,,,,,,
TEO_2,TEO 2,genomic,SRR21562133 NCBI ENA,SRX17564446,SAMN30841530,,,ARG23A,,,,,,
TEO_3,TEO 3,genomic,SRR21562132 NCBI ENA,SRX17564447,SAMN30841531,,,ARG23A,,,,,,
Tiwi_35,Tiwi 35,genomic,SRR21562077 NCBI ENA,SRX17564502,SAMN30841532,,,ARG23A,,,,,,
Tiwi_36,Tiwi 36,genomic,SRR21562072 NCBI ENA,SRX17564507,SAMN30841533,,,ARG23A,,,,,,
Tiwi_4,Tiwi 4,genomic,SRR21562073 NCBI ENA,SRX17564506,SAMN30841534,,,ARG23A,,,,,,
Tiwi_52,Tiwi 52,genomic,SRR21562074 NCBI ENA,SRX17564505,SAMN30841535,,,ARG23A,,,,,,
Tiwi_57,Tiwi 57,genomic,SRR21562075 NCBI ENA,SRX17564504,SAMN30841536,,,ARG23A,,,,,,
Tiwi_58,Tiwi 58,genomic,SRR21562051 NCBI ENA,SRX17564528,SAMN30841537,,,ARG23A,,,,,,
Tiwi_59,Tiwi 59,genomic,SRR21562052 NCBI ENA,SRX17564527,SAMN30841538,,,ARG23A,,,,,,
Tiwi_61,Tiwi 61,genomic,SRR21562053 NCBI ENA,SRX17564526,SAMN30841539,,,ARG23A,,,,,,
Tiwi_66,Tiwi 66,genomic,SRR21562054 NCBI ENA,SRX17564525,SAMN30841540,,,ARG23A,,,,,,
Tiwi_67,Tiwi 67,genomic,SRR21562055 NCBI ENA,SRX17564524,SAMN30841541,,,ARG23A,,,,,,
Tiwi_70,Tiwi 70,genomic,SRR21562056 NCBI ENA,SRX17564523,SAMN30841542,,,ARG23A,,,,,,
Tiwi_71,Tiwi 71,genomic,SRR21562058 NCBI ENA,SRX17564521,SAMN30841543,,,ARG23A,,,,,,
Tiwi_73,Tiwi 73,genomic,SRR21562059 NCBI ENA,SRX17564520,SAMN30841544,,,ARG23A,,,,,,
Tiwi_74,Tiwi 74,genomic,SRR21562060 NCBI ENA,SRX17564519,SAMN30841545,,,ARG23A,,,,,,
Tiwi_75,Tiwi 75,genomic,SRR21562061 NCBI ENA,SRX17564518,SAMN30841546,,,ARG23A,,,,,,
Tiwi_76,Tiwi 76,genomic,SRR21562062 NCBI ENA,SRX17564517,SAMN30841547,,,ARG23A,,,,,,
VEN_20,VEN 20 [FRA],genomic,SRR21562063 NCBI ENA,SRX17564516,SAMN30841548,,,ARG23A,,,,,,
VEN_4,VEN 4 [FRA],genomic,SRR21562064 NCBI ENA,SRX17564515,SAMN30841549,,,ARG23A,,,,,,
WIN_1,WIN 1,genomic,SRR21562065 NCBI ENA,SRX17564514,SAMN30841550,,,ARG23A,,,,,,
WIN_2,WIN 2,genomic,SRR21562066 NCBI ENA,SRX17564513,SAMN30841551,,,ARG23A,,,,,,
Yacu_16,Yacu 16,genomic,SRR21562067 NCBI ENA,SRX17564512,SAMN30841552,,,ARG23A,,,,,,
Yacu_17,Yacu 17,genomic,SRR21562069 NCBI ENA,SRX17564510,SAMN30841553,,,ARG23A,,,,,,
YACU_19,Yacu 19,genomic,SRR21562070 NCBI ENA,SRX17564509,SAMN30841554,,,ARG23A,,,,,,
Yacu_3,Yacu 3,genomic,SRR21562071 NCBI ENA,SRX17564508,SAMN30841555,,,ARG23A,,,,,,
Yacu_5,Yacu 5,genomic,SRR21562050 NCBI ENA,SRX17564529,SAMN30841556,,,ARG23A,,,,,,
Yacu_9,Yacu 9,genomic,SRR21562131 NCBI ENA,SRX17564448,SAMN30841557,,,ARG23A,,,,,,
Zamo_1,Zamo 1,genomic,SRR21562112 NCBI ENA,SRX17564467,SAMN30841558,,,ARG23A,,,,,,
Zamo_11,Zamo 11,genomic,SRR21562111 NCBI ENA,SRX17564468,SAMN30841559,,,ARG23A,,,,,,
Zamo_12,Zamo 12,genomic,SRR21562130 NCBI ENA,SRX17564449,SAMN30841560,,,ARG23A,,,,,,
Zamo_14,Zamo 14,genomic,SRR21562129 NCBI ENA,SRX17564450,SAMN30841561,,,ARG23A,,,,,,
ZAMO_16,Zamo 16,genomic,SRR21562128 NCBI ENA,SRX17564451,SAMN30841562,,,ARG23A,,,,,,
ZAMO_3_19,Zamo 3 19,genomic,SRR21562126 NCBI ENA,SRX17564453,SAMN30841563,,,ARG23A,,,,,,
Zamo_4,Zamo 4,genomic,SRR21562125 NCBI ENA,SRX17564454,SAMN30841564,,,ARG23A,,,,,,
Zamo_6,Zamo 6,genomic,SRR21562124 NCBI ENA,SRX17564455,SAMN30841565,,,ARG23A,,,,,,
Zamo_8,Zamo 8,genomic,SRR21562123 NCBI ENA,SRX17564456,SAMN30841566,,,ARG23A,,,,,,
ZEA,ZEA,genomic,SRR21562122 NCBI ENA,SRX17564457,SAMN30841567,,,ARG23A,,,,,,
TC41_CpG,CCN 10 x CCN 51,genomic,SRR20075024 NCBI ENA,SRX16112995,SAMN29628478,BRAALM,,GAR22A,,,,,Zygotic Embryo,
TC51_CpG,CCN 51,genomic,SRR20075023 NCBI ENA,SRX16112996,SAMN29628480,BRAALM,,GAR22A,,,,,Normal Somatic Embryo,
TC61_CpG,CCN 10,genomic,SRR20075022 NCBI ENA,SRX16112997,SAMN29628482,BRAALM,,GAR22A,,,,,Abnormal Somatic Embryo,
AMAZ-12,AMAZ 12,genomic,SRR9938280 NCBI ENA,SRX6686843,SAMN12500392,CRI001,P000003,GUI19A,,,,,,
AMAZ-12,AMAZ 12,genomic,SRR9938279 NCBI ENA,SRX6686844,SAMN12500392,CRI001,P000003,GUI19A,,,,,,
AMAZ-12,AMAZ 12,genomic,SRR9938273 NCBI ENA,SRX6686850,SAMN12500392,CRI001,P000003,GUI19A,,,,,,
AMAZ-12,AMAZ 12,genomic,SRR14022545 NCBI ENA,SRX10399130,SAMN12500392,CRI001,P000003,GUI19A,,,,,,
AMAZ-12,AMAZ 12,genomic,SRR14022544 NCBI ENA,SRX10399131,SAMN12500392,CRI001,P000003,GUI19A,,,,,,
AMAZ-12,AMAZ 12,transcriptomic,SRR9938231 NCBI ENA,SRX6686892,SAMN12500392,CRI001,P000003,GUI19A,,,,,,
Amaz-15/15,AMAZ 15 /15,genomic,SRR9938290 NCBI ENA,SRX6686833,SAMN12500390,CRI001,P000004,GUI19A,,,,,,
Amaz-15/15,AMAZ 15 /15,genomic,SRR9938289 NCBI ENA,SRX6686834,SAMN12500390,CRI001,P000004,GUI19A,,,,,,
Amaz-15/15,AMAZ 15 /15,genomic,SRR9938284 NCBI ENA,SRX6686839,SAMN12500390,CRI001,P000004,GUI19A,,,,,,
Amaz-15/15,AMAZ 15 /15,genomic,SRR14022549 NCBI ENA,SRX10399126,SAMN12500390,CRI001,P000004,GUI19A,,,,,,
Amaz-15/15,AMAZ 15 /15,genomic,SRR14022548 NCBI ENA,SRX10399127,SAMN12500390,CRI001,P000004,GUI19A,,,,,,
Amaz-15/15,AMAZ 15 /15,transcriptomic,SRR9938229 NCBI ENA,SRX6686894,SAMN12500390,CRI001,P000004,GUI19A,,,,,,
COCA-3370-5,COCA 3370 /5 [CHA],genomic,SRR9938283 NCBI ENA,SRX6686840,SAMN12500389,CRI001,P000007,GUI19A,,,,,,
COCA-3370-5,COCA 3370 /5 [CHA],genomic,SRR9938282 NCBI ENA,SRX6686841,SAMN12500389,CRI001,P000007,GUI19A,,,,,,
