Clone name,Shape,Rugosity,Husk thickness,Length,Breadth,Colour,Weight,Length breadth ratio,Refcode,Basal constriction,Apex form,Furrow depth,Ridge desc,Hardness,Husk weight,Size,Notes,Furrow desc,Info,Pods per tree,Accession
MEXICO 1,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MEXICO 10,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MEXICO 11,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MEXICO 12,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MEXICO 14,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MEXICO 19,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MEXICO 2,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MEXICO 3,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MEXICO 4,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MEXICO 5,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MEXICO 7,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
ML PEPINO,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MOCORONGO,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
MT 1 {HND],amelonado,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
MUTACION UPALA,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
NA 34,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
NAL 1,amelonado,,,,,green,,,MOR91A,,,,,,,,"Accessions A1, A2, A4, A5, A6, A7, A8, A10 and A11.",,,,
NAL 1,amelonado,,,,,red,,,MOR91A,,,,,,,,"Accessions A3, A9 and A12.",,,,
NAL 2,amelonado,,,,,red,,,MOR91A,,,,,,,,"Accessions A13, A26 and A29.",,,,
NAL 2,amelonado,,,,,green,,,MOR91A,,,,,,,,"Accessions A14 - A18, A21 - A25, A27, A28 and A30.",,,,
NAL 2,amelonado,,,,,intense green,,,MOR91A,,,,,,,,Accessions A19 and A20.,,,,
NAL 3,amelonado,,,,,green,,,MOR91A,,,,,,,,"Accessions A31 - A33, and A35 - A43.",,,,
NAL 3,angoleta,,,,,green,,,MOR91A,,,,,,,,Accession A34.,,,,
NAL 4,amelonado,,,,,green,,,MOR91A,,,,,,,,"Accessions A44, A45, A47, A48, A51 - A53, A55 - A57, and A59.",,,,
NAL 4,amelonado,,,,,red,,,MOR91A,,,,,,,,"Accessions A46, A49, A50, and A54.",,,,
NAL 4,cundeamor,,,,,green,,,MOR91A,,,,,,,,Accession A58.,,,,
OC 61 [VEN],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
OC 77 [VEN],amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
P 10 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
P 11 [MEX],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
P 12 [MEX],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
P 15 [MEX],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
P 16 [MEX],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
P 19 [MEX],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
P 20 [MEX],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
P 22 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
P 23 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
P 43 [MEX],cundeamor,,,,,red,,,MOR91A,,,,,,,,-,,,,
P 8 [MEX],amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
PA 121 [PER],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PA 13 [PER],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PA 150 [PER],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PA 16 [PER],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PA 169 [PER],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PA 19 [PER],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PA 81 [PER],amelonado,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
PAPAYO,cundeamor,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 1 [CR2],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 1 [CRI],pentagona,,,,,green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 11 [CRI],pentagona,,,,,green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 12 [CRI],pentagona,,,,,light green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 14 [CRI],pentagona,,,,,green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 16 [CRI],pentagona,,,,,red,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 17 [CRI],pentagona,,,,,green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 18 [CRI],pentagona,,,,,red,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 2 [CRI],pentagona,,,,,red,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 3 [CR2],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 4 [CRI],pentagona,,,,,green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 5 [CRI],pentagona,,,,,green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 6 [CRI],pentagona,,,,,light green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 7 [CRI],pentagona,,,,,green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 8 [CRI],pentagona,,,,,green,,,MOR91A,,,,,,,,-,,,,
PENTAGONA 9 [CRI],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 1,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 10,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 11,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 12,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 13,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
PMCT 14,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 2,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 3,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 4,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 5,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 7,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
PMCT 8,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PMCT 9,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
PORCELANA 3,cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
POUND 12,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
POUND 7,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PV 2 [CRI],amelonado,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
PV 4 [CRI],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PV 5 [CRI],angoleta,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
PV 6 [CRI],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
PV 7 [CRI],cundeamor,,,,,red,,,MOR91A,,,,,,,,-,,,,
RB 29 [BRA],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RB 37 [BRA],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RB 39 [BRA],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RB 41 [BRA],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RB 43 [BRA],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RB 46 [BRA],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RB 47 [BRA],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RB 49 [BRA],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 10 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 100 [MEX],angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
RIM 101 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 105 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 106 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 107 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 113 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 117 [MEX],angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
RIM 13 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 15 [MEX],amelonado,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
RIM 189 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 19 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 2 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 21 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 23 [MEX],cundeamor,,,,,red,,,MOR91A,,,,,,,,-,,,,
RIM 24 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 30 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 34 [MEX],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 39 [MEX],angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
RIM 41 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 43 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 44 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 48 [MEX],cundeamor,,,,,red,,,MOR91A,,,,,,,,-,,,,
RIM 52 [MEX],cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 56 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 6 [MEX],angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
RIM 68 [MEX],pentagona,,,,,red,,,MOR91A,,,,,,,,-,,,,
RIM 71 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 75 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 76 [MEX],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 78 [MEX],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 8 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
RIM 88 [MEX],cundeamor,,,,,red,,,MOR91A,,,,,,,,-,,,,
RIM 9 [MEX],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
SC 13 [COL],amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
SC 24 [COL],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SC 49 [COL],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SC 5 [COL],angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
SC 51 [COL],amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
SC 6 [COL],amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
SCA 12,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SCA 6,cundeamor,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
SCA 9,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SCR 3,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SCR 4,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SCR 5,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SCR 5,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SGU 3,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SGU 4,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SGU 60,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SGU 63,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SGU 71,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SGU 82,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SGU 84,amelonado,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
SGU 89,cundeamor,,,,,red,,,MOR91A,,,,,,,,-,,,,
SIAL 163,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 169,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 242,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 244,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 325,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 339,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 407,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 42,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 44,amelonado,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
SIAL 56,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 70,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 8,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 93,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIAL 98,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 1,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 2,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 256,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 28,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 329,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 433,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 6,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 7,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 802,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 806,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SIC 813,calabacillo,,,,,green,,,MOR91A,,,,,,,,-,,,,
SILECIA 5 [ECU],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SM 2 [SAO],amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
SNK 12,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
SPA 10 [COL],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SPA 11 [COL],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SPA 12 [COL],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
SPA 17 [COL],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SPA 4 [COL],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SPA 5 [COL],angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
SPA 7 [COL],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
SPA 9 [COL],amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
STICA 100,angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
TJ 1,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
TSA 644,angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
TSAN 792,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
TSAN 812,angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
TSH 565,cundeamor,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 10,angoleta,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
UF 11,angoleta,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
UF 12,angoleta,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
UF 122,angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 168,angoleta,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
UF 20,angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 210,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 221,angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 242,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 273,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 29,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 296,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 36,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 38,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 4,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 601,angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 602,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 613,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 650,angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 654,angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 666,cundeamor,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 667,angoleta,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 668,angoleta,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
UF 672,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 676,angoleta,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
UF 677,angoleta,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 700,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 701,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 703,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 704,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 705,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 706,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 707,cundeamor,,,,,intense green,,,MOR91A,,,,,,,,-,,,,
UF 708,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 709,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 710,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 711,cundeamor,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 712,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 713,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 714,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 715,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
UF 716,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 717,amelonado,,,,,green,,,MOR91A,,,,,,,,-,,,,
UF 93,amelonado,,,,,red,,,MOR91A,,,,,,,,-,,,,
AC T 1 /1 [TTO],elliptical,intense,,195.8,91.7,anthocyanin absent,,,BEKAD1,strong,acute,,,-,,,,paired and intermediate separation,-,,
AC T 3 /2 [TTO],elliptical,intense,,154.0,71.0,moderate anthocyanin,,,BEKAD1,moderate,acute,,,-,,,,paired and intermediate separation,-,,
AC T 6 /1 [TTO],elliptical,slight,,132.0,79.0,moderate anthocyanin,,,BEKAD1,slight,obtuse,,,-,,,,paired and wide separation,-,,
AC T 7 /2 [TTO],oblong,intense,,180.0,86.0,anthocyanin absent,,,BEKAD1,slight,obtuse,,,-,,,,paired and intermediate separation,-,,
AC T 8 /1 [TTO],oblong,slight,,149.0,76.0,slight anthocyanin,,,BEKAD1,slight,obtuse,,,-,,,,paired and intermediate separation,-,,
AC T 8 /2 [TTO],oblong,moderate,,179.0,75.0,anthocyanin absent,,,BEKAD1,strong,acute,,,-,,,,paired and intermediate separation,-,,
AGU 2 [CHA],oblong,moderate,,180.0,72.0,anthocyanin absent,,,BEKAD1,strong,attenuate,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AGU 3339 [CHA],elliptical,intense,,187.0,96.0,anthocyanin absent,,,BEKAD1,strong,indented,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AGU 3339 /12 [CHA],elliptical,moderate,,174.0,82.0,intense anthocyanin,,,BEKAD1,moderate,mammillate,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AGU 3339 /8 [CHA],elliptical,intense,,195.0,105.0,moderate anthocyanin,,,BEKAD1,moderate,indented,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
ALMEIDA,obovate,slight,,127.0,83.0,slight anthocyanin,,,BEKAD1,slight,obtuse,,,hard,,,,paired and intermediate separation,Hardness > 2.0 Mpa,,
AM 1 /1 [POU],elliptical,moderate,,164.0,87.0,slight anthocyanin,,,BEKAD1,moderate,indented,,,soft,,,,paired and intermediate separation,Hardness <= 1.6 Mpa,,
AM 1 /107 [POU],elliptical,moderate,,182.0,93.0,anthocyanin absent,,,BEKAD1,moderate,obtuse,,,moderate,,,,paired and slight separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /12 [POU],elliptical,moderate,,185.0,98.0,anthocyanin absent,,,BEKAD1,strong,obtuse,,,moderate,,,,paired and slight separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /13 [POU],elliptical,intense,,173.0,88.0,anthocyanin absent,,,BEKAD1,moderate,obtuse,,,-,,,,paired and intermediate separation,-,,
AM 1 /19 [POU],obovate,slight,,145.0,93.0,anthocyanin absent,,,BEKAD1,slight,rounded,,,hard,,,,paired and intermediate separation,Hardness > 2.0 Mpa,,
AM 1 /28 [POU],elliptical,intense,,129.0,65.0,anthocyanin absent,,,BEKAD1,moderate,mammillate,,,hard,,,,paired and wide separation,Hardness > 2.0 Mpa,,
AM 1 /3 [POU],elliptical,moderate,,180.0,79.0,slight anthocyanin,,,BEKAD1,strong,obtuse,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /33 [POU],elliptical,moderate,,163.0,83.0,anthocyanin absent,,,BEKAD1,moderate,indented,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /37 [POU],obovate,slight,,154.0,82.0,slight anthocyanin,,,BEKAD1,slight,acute,,,hard,,,,paired and intermediate separation,Hardness > 2.0 Mpa,,
AM 1 /38 [POU],elliptical,intense,,186.0,85.0,anthocyanin absent,,,BEKAD1,slight,acute,,,hard,,,,paired and intermediate separation,Hardness > 2.0 Mpa,,
AM 1 /39 [POU],obovate,moderate,,184.0,99.0,anthocyanin absent,,,BEKAD1,moderate,obtuse,,,hard,,,,paired and intermediate separation,Hardness > 2.0 Mpa,,
AM 1 /4 [POU],elliptical,slight,,137.0,81.0,moderate anthocyanin,,,BEKAD1,slight,acute,,,-,,,,paired and intermediate separation,-,,
AM 1 /42 [POU],elliptical,moderate,,168.0,89.0,anthocyanin absent,,,BEKAD1,strong,indented,,,-,,,,paired and slight separation,-,,
AM 1 /48 [POU],elliptical,slight,,151.0,91.0,anthocyanin absent,,,BEKAD1,moderate,obtuse,,,soft,,,,paired and intermediate separation,Hardness <= 1.6 Mpa,,
AM 1 /49 [POU],oblong,moderate,,169.0,86.9,anthocyanin absent,,,BEKAD1,strong,mammillate,,,-,,,,paired and slight separation,-,,
AM 1 /5 [POU],elliptical,intense,,186.0,101.0,anthocyanin absent,,,BEKAD1,strong,obtuse,,,-,,,,paired and intermediate separation,-,,
AM 1 /53 [POU],elliptical,moderate,,151.0,76.0,anthocyanin absent,,,BEKAD1,moderate,indented,,,soft,,,,paired and intermediate separation,Hardness <= 1.6 Mpa,,
AM 1 /54 [POU],elliptical,intense,,192.0,85.0,anthocyanin absent,,,BEKAD1,strong,mammillate,,,hard,,,,paired and intermediate separation,Hardness > 2.0 Mpa,,
AM 1 /55 [POU],elliptical,slight,,147.0,83.0,anthocyanin absent,,,BEKAD1,strong,indented,,,-,,,,paired and intermediate separation,-,,
AM 1 /56 [POU],elliptical,moderate,,169.0,90.0,anthocyanin absent,,,BEKAD1,strong,acute,,,moderate,,,,paired and wide separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /57 [POU],obovate,slight,,151.0,88.0,anthocyanin absent,,,BEKAD1,slight,indented,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /60 [POU],elliptical,intense,,176.0,84.0,slight anthocyanin,,,BEKAD1,moderate,obtuse,,,hard,,,,paired and intermediate separation,Hardness > 2.0 Mpa,,
AM 1 /63 [POU],elliptical,moderate,,202.0,102.0,anthocyanin absent,,,BEKAD1,strong,obtuse,,,-,,,,paired and slight separation,-,,
AM 1 /67 [POU],elliptical,intense,,177.0,99.0,anthocyanin absent,,,BEKAD1,moderate,indented,,,-,,,,paired and intermediate separation,-,,
AM 1 /68 [POU],elliptical,moderate,,199.0,81.0,anthocyanin absent,,,BEKAD1,strong,acute,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /7 [POU],elliptical,moderate,,188.0,83.0,anthocyanin absent,,,BEKAD1,strong,acute,,,soft,,,,paired and intermediate separation,Hardness <= 1.6 Mpa,,
AM 1 /70 [POU],obovate,intense,,161.0,90.0,anthocyanin absent,,,BEKAD1,moderate,mammillate,,,hard,,,,paired and intermediate separation,Hardness > 2.0 Mpa,,
AM 1 /72 [POU],elliptical,moderate,,173.0,91.0,anthocyanin absent,,,BEKAD1,moderate,indented,,,moderate,,,,paired and wide separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /73 [POU],elliptical,intense,,170.0,82.0,anthocyanin absent,,,BEKAD1,moderate,acute,,,hard,,,,paired and intermediate separation,Hardness > 2.0 Mpa,,
AM 1 /75 [POU],obovate,slight,,166.0,91.0,anthocyanin absent,,,BEKAD1,moderate,indented,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /85 [POU],elliptical,moderate,,169.0,81.0,anthocyanin absent,,,BEKAD1,moderate,acute,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /87 [POU],obovate,slight,,168.0,90.0,anthocyanin absent,,,BEKAD1,strong,obtuse,,,-,,,,paired and intermediate separation,-,,
AM 1 /88 [POU],elliptical,moderate,,176.0,97.0,anthocyanin absent,,,BEKAD1,slight,indented,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /96 [POU],elliptical,moderate,,168.0,80.0,moderate anthocyanin,,,BEKAD1,slight,mammillate,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 1 /97 [POU],elliptical,moderate,,199.0,93.0,anthocyanin absent,,,BEKAD1,moderate,indented,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 2 /1 [POU],oblong,intense,,208.0,84.0,moderate anthocyanin,,,BEKAD1,strong,attenuate,,,moderate,,,,paired and intermediate separation,Hardness > 1.6 and <= 2.0 Mpa,,
AM 2 /12 [POU],obovate,slight,,165.0,90.0,anthocyanin absent,,,BEKAD1,strong,mammillate,,,hard,,,,paired and intermediate separation,Hardness > 2.0 Mpa,,
