Clone name,Pathogen,Species,Reaction,Part,Notes,Refcode,Infection,Info,Accession
CRU 124,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
CRU 19,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
CRU 48,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
CRU 78,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
CRU 80,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
CRU 85,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
CRU 87,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
CRU 89,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
CRUZ 7 /14,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
CRUZ 7 /8,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
DE 52 /B,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
EBC 148 /S-301,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
EET 272 [ECU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
EET 48 [ECU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
EET 59 [ECU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
GU 114 /F,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
ICS 41,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
ICS 69,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
ICS 70,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
IMC 20,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
IMC 36,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
IMC 41,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
IMC 47,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
IMC 50,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
IMC 76,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
IMC 94,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
JA 3 /4 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
JA 5 /11 [POU],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
JA 5 /47 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
JA 6 /4 [POU],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
LP 3 /4 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
LP 3 /5 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
LP 4 /43 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
LP 5 /14 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
LV 20 [POU],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
LX 31,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
LX 32,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
MO 4,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
MO 83,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
MOQ 2 /18,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
MOQ 6 /19,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
MOQ 6 /82,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
MOQ 6 /95,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
NA 104,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
NA 168,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
NA 184,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
NA 217,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
NA 227,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
NA 235,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
NA 3,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
NA 312,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
NA 326,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
NA 399,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
NA 534,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
NA 699,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
NA 7 /10,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
NA 702,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
NA 715,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
NA 719,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
PA 120 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
PA 124 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
PA 125 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
PA 136 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
PA 150 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
PA 157 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
PA 218 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
PA 27 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
PA 279 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
PA 289 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
PA 293 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
PA 30 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
PA 46 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
PA 70 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
PA 90 [PER],Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
PA 95 [PER],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
POUND 2 /A,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
POUND 4 /A,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
POUND 7 /A,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
SCA 3,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
SCA 6,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
SJ 1 /40 [POU],Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
SLC 4,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 1 (1-8 Scale),
SPEC 18 /6,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
SPEC 194 /75,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
TRD 13,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
TRD 32,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
TRD 85,Phytophthora,P. palmivora,resistant,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 2 (1-8 Scale),
TRD 88,Phytophthora,P. palmivora,moderate resistance,Pod,"Fully grown, unripe detached pods (4-5 months old).",IWA06A,,Score: 3 (1-8 Scale),
CCN 51,Ceratosystis,,susceptible,Seedling,"Origin of material: Almirante Cacau, Barro Preto",SIL06A,,,
CEPEC 42,Ceratosystis,,intermediate,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus",SIL06A,,,
FB 17,Ceratosystis,,intermediate,Seedling,"Origin of material: Faz.São Bento, Uruçuca",SIL06A,,,
FB 21,Ceratosystis,,resistant,Seedling,"Origin of material: Faz.Brasileira, Uruçuca",SIL06A,,,
LP 6 [BRA],Ceratosystis,,resistant,Seedling,"Origin of material: Faz. Lagoa Pequena, Ilhéus",SIL06A,,,
Parazinho,Ceratosystis,,resistant,Seedling,"Origin of material: Faz. Camacan, Bueararema",SIL06A,,,
PH 159 [BRA],Ceratosystis,,resistant,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus",SIL06A,,,
PH 16 [BRA],Ceratosystis,,susceptible,Seedling,"Origin of material: Faz. Porto Híbrido, São José da Vitória",SIL06A,,,
PH 92 [BRA],Ceratosystis,,intermediate,Seedling,"Origin of material: Faz. Porto Híbrido, São José da Vitória",SIL06A,,,
PH 9 [BRA],Ceratosystis,,intermediate,Seedling,"Origin of material: Faz. Porto Híbrido, São José da Vitória",SIL06A,,,
ROXO 10,Ceratosystis,,susceptible,Seedling,"Origin of material: Faz. Enferrujada, Ilhéus",SIL06A,,,
SCA 6 x CP 14 [BRA],Ceratosystis,,intermediate,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus",SIL06A,,,
SL 70 [BRA],Ceratosystis,,resistant,Seedling,"Origin of material: Faz. São Lourenço, Ilhéus",SIL06A,,,
SM 2 [BRA],Ceratosystis,,intermediate,Seedling,"Origin of material: Faz. Brasileira, Uruçuca",SIL06A,,,
SSV 2,Ceratosystis,,susceptible,Seedling,"Origin of material: Faz. Sempre Viva, Uruçuca",SIL06A,,,
Theobahia,Ceratosystis,,susceptible,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus",SIL06A,,,
TR 1 [BRA],Ceratosystis,,resistant,Seedling,"Origin of material: Faz. Transval, Itabuna",SIL06A,,,
TSA 644 x COMUM TIPICO,Ceratosystis,,intermediate,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus",SIL06A,,,
TSH 1188,Ceratosystis,,resistant,Seedling,"Origin of material: Almirante Cacau, Barro Preto",SIL06A,,,
VB 1151,Ceratosystis,,resistant,Seedling,"Origin of material: Faz. São Bento, Uruçuca",SIL06A,,,
VB 1138,Ceratosystis,,intermediate,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus",SIL06A,,,
VB 1151,Ceratosystis,,resistant,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus",SIL06A,,,
VB 1156,Ceratosystis,,intermediate,Seedling,"Origin of material: Faz. Brasileira, Uruçuca",SIL06A,,,
VB 1134,Ceratosystis,,intermediate,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus",SIL06A,,,
VB 1139,Ceratosystis,,resistant,Seedling,"Origin of material: Faz. São Bento, Uruçuca",SIL06A,,,
VB 681,Ceratosystis,,resistant,Seedling,"Origin of material: Ceplac/Cepec, Ilhéus",SIL06A,,,
VP 1,Ceratosystis,,intermediate,Seedling,"Origin of material: Faz.Valparaiso, Uruçuca",SIL06A,,,
IMC 67,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded",SHR95A,,,
SCA 6,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 1095,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 1105,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 1188,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 1220,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 1255,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 1306,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 1314,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 1337,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 1380,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 728,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 919,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
TSH 982,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded",SHR95A,,,
CATIE 1000,Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,66.0,,
CATONGO,Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,45.0,,
CC 210,Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,98.0,,
CC 225,Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,89.0,,
CC 41,Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,85.0,,
DIAMANTES 800,Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,81.0,,
EET 162 [ECU],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,12.0,,
EET 164 [ECU],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,35.0,,
EET 376 [ECU],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,26.0,,
EET 399 [ECU],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,21.0,,
EET 400 [ECU],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,12.0,,
EET 49 [ECU],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,9.0,,
EET 59 [ECU],Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,93.0,,
EET 80 [ECU],Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,89.0,,
EET 94 [ECU],Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,84.0,,
EET 95 [ECU],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,18.0,,
EET 96 [ECU],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,39.0,,
ICS 1,Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,55.0,,
IMC 67,Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,5.0,,
NA 34,Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,53.0,,
PA 121 [PER],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,70.0,,
PA 13 [PER],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,41.0,,
PA 169 [PER],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,64.0,,
PORCELANA 3,Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,53.0,,
POUND 12,Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,17.0,,
POUND 7,Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,20.0,,
RB 41 [BRA],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,39.0,,
RB 46 [BRA],Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,37.0,,
RIM 105 [MEX],Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,67.0,,
RIM 23 [MEX],Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,70.0,,
RIM 24 [MEX],Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,59.0,,
RIM 44 [MEX],Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,94.0,,
RIM 56 [MEX],Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,39.0,,
RIM 75 [MEX],Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,48.0,,
RIM 76 [MEX],Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,53.0,,
RIM 88 [MEX],Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,49.0,,
SANTA CLARA 3 [CRI],Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,87.0,,
SCA 12,Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,5.0,,
SCA 6,Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,0.0,,
SGU 69,Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,88.0,,
SIAL 163,Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,73.0,,
SIAL 325,Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,62.0,,
SIAL 407,Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,68.0,,
SIAL 56,Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,91.0,,
SIAL 93,Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,77.0,,
SPA 9 [COL],Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,13.0,,
UF 221,Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,68.0,,
UF 29,Phytophthora,P. palmivora,resistant,Pod,Unripe and not wounded,LOP96A,18.0,,
UF 296,Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,50.0,,
UF 613,Phytophthora,P. palmivora,moderate resistance,Pod,Unripe and not wounded,LOP96A,25.0,,
UF 667,Phytophthora,P. palmivora,susceptible,Pod,Unripe and not wounded,LOP96A,76.0,,
AMAZ 15 /15,Ceratosystis,,susceptible,Branch,,DEL03A,,Based on perithecium development,
AMAZ 15 /15,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium development,
BE 10,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development,
CATIE 1000 /B,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development (x2),
EET 59 [ECU],Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development,
GU 175 /P,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development,
GU 255 /P,Ceratosystis,,susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development,
ICS 1,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development (x2),
ICS 43,Ceratosystis,,susceptible,Branch,,DEL03A,,Based on perithecium development,
ICS 43,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium development,
IMC 67,Ceratosystis,,moderate resistance,Branch,,DEL03A,,Based on mycelium (x1) and perithecium (x2) development,
IMC 67,Ceratosystis,,susceptible,Branch,,DEL03A,,Based on mycelium (x1) development,
IMC 47,Ceratosystis,,moderate resistance,Branch,,DEL03A,,Based on mycelium (x2) and perithecium (x1) development,
IMC 47,Ceratosystis,,resistant,Branch,,DEL03A,,Based on perithecium (x1) development,
LF 1,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development (x2),
LCT EEN 371,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development (x2),
LCT EEN 46,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development,
MAN 15 /2 [BRA],Ceratosystis,,susceptible,Branch,,DEL03A,,Based on perithecium development,
MAN 15 /2 [BRA],Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium development,
MXC 67,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development,
PA 107 [PER],Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development (x2),
PA 120 [PER],Ceratosystis,,susceptible,Branch,,DEL03A,,Based on perithecium development,
PA 120 [PER],Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium development,
PLAYA ALTA 2 [VEN],Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development,
SCA 24,Ceratosystis,,susceptible,Branch,,DEL03A,,Based on perithecium development,
SCA 24,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium development,
SCA 6,Ceratosystis,,susceptible,Branch,,DEL03A,,Based on perithecium development,
SCA 6,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium development,
SPEC 54 /1,Ceratosystis,,susceptible,Branch,,DEL03A,,Based on perithecium development,
SPEC 54 /1,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium development,
UF 676,Ceratosystis,,susceptible,Branch,,DEL03A,,Based on perithecium development,
UF 676,Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium development,
VENC 22 /6 [FRA],Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development,
VENC 4 /4 [FRA],Ceratosystis,,moderate resistance,Branch,,DEL03A,,Based on mycelium (x1) development,
VENC 4 /4 [FRA],Ceratosystis,,resistant,Branch,,DEL03A,,Based on perithecium (x1) development,
VENC 4 /4 [FRA],Ceratosystis,,moderately susceptible,Branch,,DEL03A,,Based on mycelium and perithecium development (x1),
AM 1 [BR2],Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
AM 2 [BR2],Ceratosystis,,susceptible,Branch,Classed as Very Susceptible,SIL03A,,Based on mycelium growth and the production of perithecia.,
AMAZ 15 /15,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
AMAZ 5 /2,Ceratosystis,,susceptible,Branch,-,SIL03A,,Based on mycelium growth and the production of perithecia.,
APA 4,Ceratosystis,,moderate resistance,Branch,-,SIL03A,,Based on mycelium growth.,
