Clone name,Shape,Info,Refcode,Length,Width,Basal form,Apex form,Petiole length,L w ratio,Basal angle,Apical angle,Notes,Pulvinus present,Pulvinus length
CATONGO,,,ICG92A,293.0,113.0,,,19.0,2.6,105.2,69.0,Data collected on 28/06/1991,,18.0
COCA 3343 /7 [CHA],,,ICG92A,309.0,92.0,,,16.0,3.3,142.4,53.8,Data collected on 31/05/1991,,11.0
COCA 3348 /44 [CHA],,,ICG92A,258.0,87.0,,,20.0,3.0,103.5,65.7,Data collected on 31/05/1991,,15.0
CRU 104,,,ICG92A,340.0,96.0,,,24.0,3.6,113.3,49.9,Data collected on 08/03/1991,,17.0
CRUZ 7 /11,,,ICG92A,302.0,102.0,,,15.0,3.0,129.4,63.6,Data collected on 22/02/1991,,15.0
CRUZ 7 /14,,,ICG92A,335.0,107.0,,,18.0,3.1,112.1,62.6,Data collected on 26/02/1991,,19.0
CRUZ 7 /8,,,ICG92A,311.0,105.0,,,21.0,3.0,113.0,59.8,Data collected on 26/02/1991,,20.0
DE 33 /B,,,ICG92A,278.0,100.0,,,24.0,2.8,144.7,59.1,Data collected on 06/03/1991,,16.0
DE 36 /A,,,ICG92A,256.0,94.0,,,18.0,2.8,121.3,70.4,Data collected on 06/03/1991,,16.0
DE 52 /B,,,ICG92A,286.0,98.0,,,20.0,3.0,135.8,84.6,Data collected on 05/11/1990,,16.0
DOS HERMANOS 1,,,ICG92A,206.0,77.0,,,17.0,2.7,98.6,61.1,Data collected on 17/06/1991,,14.0
DOS HERMANOS 2,,,ICG92A,201.0,83.0,,,18.0,2.4,103.2,67.0,Data collected on 17/06/1991,,14.0
DR 1,,,ICG92A,261.0,97.0,,,16.0,2.7,115.9,60.4,Data collected on 19/02/1991,,12.0
DR 2,,,ICG92A,290.0,91.0,,,23.0,3.2,109.0,64.7,Data collected on 17/09/1991,,17.0
E 34 [ECU],,,ICG92A,260.0,106.0,,,23.0,2.4,108.4,69.3,Data collected on 21/02/1991,,16.0
E 575 [ICT],,,ICG92A,266.0,102.0,,,22.0,2.6,110.2,73.4,Data collected on 18/07/1991,,15.0
ECNR,,,ICG92A,261.0,87.0,,,16.0,3.0,124.5,73.7,Data collected on 09/12/1991,,8.0
EEG 8,,,ICG92A,266.0,96.0,,,18.0,3.6,125.2,69.1,Data collected on 17/09/1991,,16.0
EET 162 [ECU],,,ICG92A,296.0,93.0,,,8.0,3.2,98.0,67.5,Data collected on 26/09/1990,,14.0
EET 19 [ECU],,,ICG92A,273.0,94.0,,,20.0,2.9,109.6,64.2,Data collected on 06/05/1991,,11.0
EET 397 [ECU],,,ICG92A,296.0,105.0,,,23.0,2.8,112.8,64.2,Data collected on 23/04/1991,,15.0
EET 48 [ECU],,,ICG92A,258.0,96.0,,,20.0,2.7,115.3,69.8,Data collected on 07/05/1991,,18.0
EET 58 [ECU],,,ICG92A,256.0,91.0,,,17.0,2.8,132.7,87.8,Data collected on 09/12/1991,,11.0
EET 59 [ECU],,,ICG92A,325.0,114.0,,,19.0,2.9,117.9,66.2,Data collected on 23/04/1991,,15.0
EET 95 [ECU],,,ICG92A,258.0,100.0,,,10.0,2.6,112.0,78.1,Data collected on 26/09/1990,,17.0
GC T 998 /60,,,ICG92A,344.0,116.0,,,24.0,3.0,94.2,56.2,Data collected on 10/12/1990,,20.0
GC T 999 /59,,,ICG92A,324.0,109.0,,,22.0,2.9,141.4,53.2,Data collected on 28/02/1991,,18.0
GS 10,,,ICG92A,197.0,79.0,,,16.0,2.5,108.7,74.0,Data collected on 04/06/1991,,12.0
GS 15,,,ICG92A,290.0,97.0,,,21.0,3.0,109.8,66.1,Data collected on 10/05/1991,,13.0
GS 26,,,ICG92A,263.0,99.0,,,10.0,2.7,121.0,87.3,Data collected on 07/02/1990,,19.0
GS 29,,,ICG92A,282.0,102.0,,,22.0,2.8,101.4,60.5,Data collected on 08/02/1991,,16.0
GS 36,,,ICG92A,277.0,96.0,,,20.0,2.9,111.2,61.6,Data collected on 10/05/1991,,14.0
GS 48,,,ICG92A,280.0,101.0,,,10.0,2.8,109.0,80.2,Data collected on 18/06/1990,,16.0
GS 50,,,ICG92A,215.0,95.0,,,13.0,2.3,142.2,88.8,Data collected on 17/09/1991,,12.0
GS 67,,,ICG92A,288.0,98.0,,,19.0,3.0,112.3,60.6,Data collected on 04/06/1991,,18.0
GS 71,,,ICG92A,299.0,110.0,,,20.0,2.7,134.7,80.4,Data collected on 19/12/1991,,18.0
GS 77,,,ICG92A,278.0,90.0,,,21.0,3.1,101.3,62.5,Data collected on 20/08/1991,,17.0
GS 78,,,ICG92A,270.0,109.0,,,22.0,2.5,114.6,78.7,Data collected on 18/12/1991,,18.0
ICS 1,,,ICG92A,262.0,100.0,,,28.0,2.6,111.4,70.8,Data collected on 20/09/1990,,12.0
ICS 10,,,ICG92A,304.0,108.0,,,21.0,2.8,93.1,55.5,Data collected on 23/01/1991,,16.0
ICS 100,,,ICG92A,281.0,100.0,,,29.0,2.8,103.9,63.0,Data collected on 03/05/1991,,29.0
ICS 14,,,ICG92A,270.0,105.0,,,22.0,2.6,121.9,96.7,Data collected on 22/10/1990,,16.0
ICS 2,,,ICG92A,252.0,94.0,,,26.0,2.7,109.1,66.3,Data collected on 03/05/1991,,15.0
ICS 22,,,ICG92A,237.0,95.0,,,23.0,2.5,130.1,88.8,Data collected on 10/09/1990,,17.0
ICS 24,,,ICG92A,272.0,97.0,,,20.0,2.7,116.1,67.0,Data collected on 12/04/1991,,16.0
ICS 29,,,ICG92A,293.0,96.0,,,12.0,3.1,92.0,68.1,Data collected on 20/09/1990,,18.0
ICS 36,,,ICG92A,256.0,106.0,,,20.0,2.4,117.1,88.7,Data collected on 15/10/1991,,15.0
ICS 4,,,ICG92A,281.0,103.0,,,23.0,2.7,112.4,61.1,Data collected on 28/02/1991,,15.0
ICS 40,,,ICG92A,314.0,100.0,,,19.0,3.1,98.3,53.8,Data collected on 20/09/1990,,15.0
ICS 41,,,ICG92A,299.0,93.0,,,23.0,3.2,83.2,70.8,Data collected on 03/05/1990,,17.0
ICS 43,,,ICG92A,305.0,97.0,,,24.0,3.2,108.9,80.5,Data collected on 20/09/1990,,17.0
ICS 45,,,ICG92A,264.0,96.0,,,24.0,2.8,122.5,82.5,Data collected on 10/10/1990,,19.0
ICS 46,,,ICG92A,293.0,102.0,,,28.0,2.4,110.8,86.6,Data collected on 28/11/1990,,21.0
ICS 47,,,ICG92A,276.0,91.0,,,11.0,3.1,107.6,72.1,Data collected on 26/09/1990,,16.0
ICS 48,,,ICG92A,254.0,91.0,,,24.0,2.8,122.8,81.3,Data collected on 02/10/1990,,20.0
ICS 49,,,ICG92A,255.0,94.0,,,22.0,2.7,111.0,73.5,Data collected on 21/11/1990,,17.0
ICS 5,,,ICG92A,240.0,88.0,,,26.0,2.7,114.5,88.4,Data collected on 23/11/1990,,15.0
ICS 6,,,ICG92A,272.0,94.0,,,25.0,2.9,104.2,77.6,Data collected on 12/11/1990,,18.0
ICS 60,,,ICG92A,322.0,117.0,,,31.0,2.8,122.0,62.9,Data collected on 09/07/1990,,20.0
ICS 63,,,ICG92A,263.0,106.0,,,25.0,2.5,90.6,71.6,Data collected on 31/01/1991,,17.0
ICS 65,,,ICG92A,221.0,83.0,,,23.0,2.7,105.3,72.3,Data collected on 26/09/1990,,18.0
ICS 68,,,ICG92A,345.0,113.0,,,26.0,3.0,115.6,85.6,Data collected on 28/11/1990,,15.0
ICS 70,,,ICG92A,320.0,101.0,,,24.0,3.2,95.9,55.8,Data collected on 30/11/1990,,17.0
ICS 75,,,ICG92A,258.0,108.0,,,22.0,2.4,137.0,67.4,Data collected on 30/12/1990,,17.0
ICS 8,,,ICG92A,310.0,93.0,,,21.0,3.4,92.6,90.8,Data collected on 18/01/1991,,18.0
ICS 83,,,ICG92A,252.0,90.0,,,11.0,2.8,95.3,73.8,Data collected on 03/05/1990,,17.0
ICS 84,,,ICG92A,260.0,100.0,,,10.0,2.6,117.8,73.1,Data collected on 26/09/1990,,17.0
ICS 85,,,ICG92A,323.0,112.0,,,22.0,2.7,98.4,85.7,Data collected on 21/11/1990,,15.0
ICS 86,,,ICG92A,260.0,94.0,,,14.0,2.6,121.0,77.5,Data collected on 10/10/1990,,17.0
ICS 90,,,ICG92A,283.0,102.0,,,18.0,2.8,121.4,82.7,Data collected on 25/07/1991,,15.0
ICS 96,,,ICG92A,288.0,105.0,,,24.0,2.8,92.9,91.7,Data collected on 18/01/1991,,17.0
ICS 98,,,ICG92A,196.0,79.0,,,11.0,2.5,97.7,82.0,Data collected on 26/09/1990,,14.0
IMC 10,,,ICG92A,288.0,109.0,,,17.0,2.7,127.0,63.7,Data collected on 12/04/1991,,15.0
IMC 103,,,ICG92A,330.0,110.0,,,17.0,3.0,151.9,54.8,Data collected on 18/03/1991,,15.0
IMC 104,,,ICG92A,257.0,90.0,,,16.0,2.9,126.2,74.5,Data collected on 17/09/1991,,17.0
IMC 105,,,ICG92A,296.0,102.0,,,20.0,2.9,125.7,78.1,Data collected on 10/10/1990,,15.0
IMC 107,,,ICG92A,285.0,100.0,,,13.0,2.9,125.3,76.8,Data collected on 19/01/1990,,15.0
IMC 12,,,ICG92A,275.0,99.0,,,14.0,2.8,141.3,57.3,Data collected on 19/03/1991,,12.0
IMC 13,,,ICG92A,240.0,89.0,,,17.0,2.7,109.9,80.6,Data collected on 31/10/1991,,15.0
IMC 14,,,ICG92A,277.0,99.0,,,19.0,2.8,133.2,75.8,Data collected on 16/01/1990,,14.0
IMC 16,,,ICG92A,264.0,93.0,,,16.0,2.9,130.3,76.5,Data collected on 10/10/1990,,7.0
IMC 2,,,ICG92A,270.0,105.0,,,21.0,2.6,143.2,59.9,Data collected on 08/02/1991,,18.0
IMC 22,,,ICG92A,294.0,105.0,,,16.0,2.8,124.7,59.0,Data collected on 20/03/1991,,13.0
IMC 23,,,ICG92A,244.0,87.0,,,7.0,2.8,132.5,74.3,Data collected on 16/02/1990,,16.0
IMC 27,,,ICG92A,250.0,85.0,,,16.0,2.9,125.7,75.3,Data collected on 20/06/1990,,13.0
IMC 3,,,ICG92A,286.0,97.0,,,12.0,3.0,122.9,72.3,Data collected on 06/02/1990,,13.0
IMC 31,,,ICG92A,234.0,86.0,,,21.0,2.7,92.2,75.3,Data collected on 19/01/1990,,10.0
IMC 33,,,ICG92A,282.0,97.0,,,22.0,2.9,104.2,56.0,Data collected on 13/02/1991,,2.0
IMC 36,,,ICG92A,284.0,88.0,,,16.0,3.3,109.9,56.2,Data collected on 08/05/1991,,12.0
IMC 38,,,ICG92A,262.0,85.0,,,17.0,3.1,104.2,75.1,Data collected on 18/01/1990,,11.0
IMC 39,,,ICG92A,263.0,100.0,,,15.0,2.6,124.0,62.8,Data collected on 09/05/1991,,16.0
IMC 42,,,ICG92A,280.0,106.0,,,20.0,2.7,146.4,77.5,Data collected on 28/08/1990,,11.0
IMC 47,,,ICG92A,272.0,98.0,,,20.0,2.7,97.4,58.7,Data collected on 07/01/1991,,2.0
IMC 49,,,ICG92A,289.0,101.0,,,21.0,2.9,106.5,58.9,Data collected on 20/03/1991,,16.0
IMC 51,,,ICG92A,260.0,85.0,,,18.0,3.1,131.7,69.5,Data collected on 16/01/1990,,16.0
IMC 53,,,ICG92A,292.0,102.0,,,17.0,2.8,143.3,58.7,Data collected on 02/04/1991,,15.0
IMC 54,,,ICG92A,288.0,94.0,,,20.0,3.1,128.2,70.6,Data collected on 18/05/1990,,16.0
IMC 55,,,ICG92A,292.0,100.0,,,21.0,2.9,130.9,70.0,Data collected on 18/05/1990,,16.0
IMC 57,,,ICG92A,245.0,86.0,,,21.0,2.9,129.1,82.1,Data collected on 18/05/1990,,15.0
IMC 58,,,ICG92A,319.0,112.0,,,17.0,2.9,154.8,56.6,Data collected on 28/02/1991,,15.0
IMC 59,,,ICG92A,323.0,111.0,,,28.0,2.9,117.9,53.0,Data collected on 29/01/1991,,30.0
IMC 6,,,ICG92A,288.0,94.0,,,19.0,3.1,122.5,68.0,Data collected on 16/03/1990,,15.0
IMC 60,,,ICG92A,291.0,118.0,,,18.0,2.5,163.6,63.4,Data collected on 15/01/1991,,15.0
IMC 61,,,ICG92A,305.0,107.0,,,22.0,2.9,133.1,75.6,Data collected on 29/08/1990,,17.0
IMC 63,,,ICG92A,288.0,101.0,,,15.0,2.9,154.8,72.5,Data collected on 20/06/1990,,14.0
IMC 65,,,ICG92A,263.0,86.0,,,19.0,3.1,114.1,75.8,Data collected on 18/01/1990,,17.0
IMC 66,,,ICG92A,307.0,102.0,,,16.0,3.0,118.5,52.1,Data collected on 27/03/1991,,16.0
IMC 67,,,ICG92A,300.0,91.0,,,16.0,3.3,129.1,65.9,Data collected on 20/06/1990,,15.0
IMC 68,,,ICG92A,283.0,94.0,,,18.0,3.1,132.8,71.7,Data collected on 11/01/1990,,32.0
IMC 71,,,ICG92A,322.0,121.0,,,20.0,2.7,135.4,80.3,Data collected on 20/09/1990,,19.0
IMC 73,,,ICG92A,273.0,85.0,,,19.0,3.2,109.0,52.1,Data collected on 03/05/1991,,15.0
IMC 76,,,ICG92A,285.0,96.0,,,14.0,2.8,137.6,67.5,Data collected on 23/02/1990,,11.0
IMC 77,,,ICG92A,240.0,91.0,,,16.0,2.8,132.5,74.9,Data collected on 06/02/1990,,17.0
IMC 78,,,ICG92A,248.0,80.0,,,18.0,3.1,123.2,73.2,Data collected on 26/01/1990,,13.0
IMC 85,,,ICG92A,277.0,93.0,,,7.0,3.0,154.4,75.7,Data collected on 22/10/1990,,12.0
IMC 9,,,ICG92A,285.0,106.0,,,22.0,2.7,124.2,64.7,Data collected on 09/05/1991,,19.0
IMC 94,,,ICG92A,338.0,110.0,,,18.0,3.1,121.6,54.8,Data collected on 02/04/1991,,16.0
IMC 96,,,ICG92A,230.0,77.0,,,8.0,2.9,139.8,64.7,Data collected on 23/02/1990,,12.0
IMC 97,,,ICG92A,311.0,110.0,,,18.0,2.8,120.7,63.4,Data collected on 27/03/1991,,16.0
IMC 98,,,ICG92A,225.0,84.0,,,13.0,2.7,132.1,79.6,Data collected on 02/09/1991,,14.0
JA 5 /31 [POU],,,ICG92A,279.0,99.0,,,22.0,2.8,113.7,64.9,Data collected on 13/02/1991,,16.0
LH 5,,,ICG92A,282.0,107.0,,,21.0,2.6,120.7,79.4,Data collected on 18/12/1991,,15.0
LZ 13,,,ICG92A,253.0,96.0,,,17.0,2.6,105.7,68.8,Data collected on 28/06/1991,,12.0
MAN 15 /60 [BRA],,,ICG92A,333.0,120.0,,,24.0,2.8,117.6,62.6,Data collected on 10/04/1991,,18.0
MATINA 1 /4,,,ICG92A,298.0,104.0,,,18.0,2.9,129.7,78.3,Data collected on 12/12/1991,,16.0
MATINA 1 /7,,,ICG92A,264.0,88.0,,,17.0,3.0,118.7,74.8,Data collected on 04/09/1991,,16.0
MO 109,,,ICG92A,259.0,95.0,,,19.0,2.7,142.3,72.2,Data collected on 12/04/1991,,13.0
MO 20,,,ICG92A,238.0,81.0,,,20.0,2.9,120.1,65.5,Data collected on 10/07/1991,,12.0
MOCO 1 /12,,,ICG92A,296.0,98.0,,,20.0,3.1,105.9,60.4,Data collected on 19/02/1991,,17.0
MOQ 2 /10,,,ICG92A,273.0,109.0,,,23.0,2.5,122.3,67.0,Data collected on 18/07/1991,,19.0
NA 13,,,ICG92A,323.0,105.0,,,15.0,3.1,96.8,91.5,Data collected on 18/01/1991,,10.0
NA 137,,,ICG92A,323.0,99.0,,,19.0,3.2,114.2,52.0,Data collected on 24/04/1991,,22.0
NA 226,,,ICG92A,242.0,92.0,,,13.0,2.6,151.2,88.5,Data collected on 12/11/1991,,8.0
NA 268,,,ICG92A,310.0,107.0,,,17.0,2.9,116.2,57.3,Data collected on 25/04/1991,,16.0
NA 32,,,ICG92A,291.0,103.0,,,16.0,2.8,93.3,59.0,Data collected on 23/10/1991,,15.0
NA 34,,,ICG92A,288.0,97.0,,,15.0,3.0,93.4,57.3,Data collected on 10/09/1991,,12.0
NA 342,,,ICG92A,265.0,102.0,,,12.0,2.6,119.3,80.3,Data collected on 31/10/1991,,8.0
NA 427,,,ICG92A,246.0,84.0,,,11.0,3.0,94.4,59.9,Data collected on 10/09/1991,,12.0
NA 534,,,ICG92A,296.0,101.0,,,20.0,2.9,104.7,57.5,Data collected on 30/04/1991,,18.0
NA 753,,,ICG92A,268.0,91.0,,,13.0,2.9,95.9,57.7,Data collected on 10/09/1991,,12.0
NA 804,,,ICG92A,281.0,97.0,,,15.0,2.9,104.8,59.0,Data collected on 11/09/1991,,15.0
NA 867,,,ICG92A,255.0,90.0,,,12.0,2.9,116.0,72.6,Data collected on 11/09/1991,,6.0
NA 935,,,ICG92A,254.0,90.0,,,17.0,2.8,114.3,61.6,Data collected on 06/05/1991,,13.0
NA 98,,,ICG92A,248.0,99.0,,,11.0,2.5,94.6,64.7,Data collected on 25/07/1991,,9.0
NG 3,,,ICG92A,229.0,90.0,,,13.0,2.6,118.7,85.7,Data collected on 21/11/1991,,11.0
PA 13 [PER],,,ICG92A,247.0,76.0,,,16.0,3.3,108.0,53.0,Data collected on 28/05/1991,,13.0
PA 15 [PER],,,ICG92A,244.0,85.0,,,17.0,2.9,111.9,62.8,Data collected on 10/05/1991,,13.0
PA 150 [PER],,,ICG92A,226.0,82.0,,,21.0,2.8,101.7,67.4,Data collected on 14/05/1991,,14.0
PA 169 [PER],,,ICG92A,299.0,113.0,,,17.0,2.7,104.2,67.8,Data collected on 01/11/1991,,15.0
PA 18 [PER],,,ICG92A,268.0,98.0,,,18.0,2.7,108.8,65.9,Data collected on 14/05/1991,,14.0
PLAYA ALTA 2 [VEN],,,ICG92A,280.0,101.0,,,19.0,2.8,98.5,62.1,Data collected on 25/01/1991,,16.0
POR 1 [TTO],,,ICG92A,311.0,100.0,,,19.0,3.1,101.3,54.8,Data collected on 21/02/1991,,16.0
POUND 1 /B,,,ICG92A,268.0,96.0,,,12.0,2.8,120.0,60.7,Data collected on 26/04/1991,,13.0
POUND 10 /B,,,ICG92A,300.0,115.0,,,13.0,2.6,133.7,63.8,Data collected on 15/03/1991,,11.0
POUND 12 /A,,,ICG92A,252.0,90.0,,,20.0,2.8,152.1,80.2,Data collected on 17/12/1991,,13.0
POUND 12 /B,,,ICG92A,253.0,101.0,,,22.0,2.5,112.5,63.3,Data collected on 28/05/1991,,16.0
POUND 15 /A,,,ICG92A,266.0,101.0,,,12.0,2.6,117.0,87.8,Data collected on 20/08/1991,,6.0
POUND 16 /B,,,ICG92A,320.0,117.0,,,16.0,2.8,119.0,58.8,Data collected on 15/03/1991,,16.0
POUND 18,,,ICG92A,303.0,97.0,,,14.0,3.1,146.9,53.8,Data collected on 13/03/1991,,8.0
POUND 18 /A,,,ICG92A,320.0,109.0,,,17.0,3.0,111.2,59.8,Data collected on 28/05/1991,,16.0
POUND 2 /A,,,ICG92A,263.0,108.0,,,12.0,2.5,118.0,69.2,Data collected on 10/04/1991,,13.0
POUND 2 /B,,,ICG92A,264.0,104.0,,,13.0,2.6,121.4,68.4,Data collected on 10/04/1991,,11.0
POUND 25 /A,,,ICG92A,244.0,85.0,,,7.0,2.9,139.5,71.4,Data collected on 26/09/1990,,14.0
POUND 26 /C,,,ICG92A,284.0,99.0,,,13.0,2.9,114.8,58.5,Data collected on 28/05/1991,,12.0
POUND 27 /C,,,ICG92A,288.0,105.0,,,13.0,2.8,142.1,84.5,Data collected on 17/12/1991,,7.0
POUND 31 /A,,,ICG92A,220.0,97.0,,,12.0,2.3,123.7,76.5,Data collected on 17/05/1991,,13.0
POUND 31 /C,,,ICG92A,262.0,119.0,,,14.0,2.2,126.3,80.8,Data collected on 10/04/1991,,13.0
POUND 32 /A,,,ICG92A,262.0,103.0,,,14.0,2.6,119.6,62.7,Data collected on 10/04/1991,,12.0
POUND 4 /A,,,ICG92A,282.0,109.0,,,24.0,2.6,121.1,64.9,Data collected on 08/04/1991,,18.0
POUND 5 /B,,,ICG92A,280.0,103.0,,,14.0,2.7,120.2,59.7,Data collected on 05/04/1991,,13.0
POUND 5 /C,,,ICG92A,307.0,106.0,,,14.0,2.9,121.1,57.9,Data collected on 08/04/1991,,13.0
POUND 7 /A,,,ICG92A,342.0,122.0,,,18.0,2.8,117.2,58.8,Data collected on 10/04/1991,,11.0
POUND 7 /B,,,ICG92A,309.0,113.0,,,16.0,2.7,143.7,59.6,Data collected on 15/03/1991,,10.0
POUND 7 /C,,,ICG92A,328.0,115.0,,,18.0,2.9,120.5,58.9,Data collected on 15/03/1991,,15.0
POUND 8 /C,,,ICG92A,256.0,101.0,,,12.0,2.6,107.8,91.1,Data collected on 15/08/1991,,4.0
POUND 9 /B,,,ICG92A,319.0,115.0,,,23.0,2.8,123.3,61.6,Data collected on 15/03/1991,,16.0
RB 29 [BRA],,,ICG92A,313.0,119.0,,,22.0,2.6,107.1,73.0,Data collected on 28/06/1991,,16.0
REDAMEL 1 /27,,,ICG92A,260.0,107.0,,,8.0,2.5,127.3,94.2,Data collected on 29/08/1990,,13.0
REDAMEL 1 /31,,,ICG92A,284.0,106.0,,,24.0,2.7,104.8,70.8,Data collected on 11/06/1991,,17.0
SAN MIGUEL 3161 [CHA],,,ICG92A,256.0,112.0,,,21.0,2.3,125.4,77.4,Data collected on 31/05/1991,,21.0
SCA 10,,,ICG92A,267.0,105.0,,,11.0,2.6,143.1,64.7,Data collected on 17/05/1991,,5.0
SCA 11,,,ICG92A,249.0,89.0,,,17.0,2.8,119.2,88.2,Data collected on 14/11/1991,,10.0
SCA 3,,,ICG92A,191.0,71.0,,,7.0,2.7,108.0,81.5,Data collected on 19/01/1990,,13.0
SCA 5,,,ICG92A,259.0,101.0,,,18.0,2.6,118.9,77.5,Data collected on 22/03/1991,,12.0
SCA 6,,,ICG92A,236.0,71.0,,,18.0,3.3,96.5,72.5,Data collected on 03/01/1990,,14.0
SCA 7,,,ICG92A,238.0,85.0,,,6.0,2.8,111.6,80.7,Data collected on 19/01/1990,,10.0
SCA 9,,,ICG92A,289.0,107.0,,,15.0,2.7,137.1,88.5,Data collected on 18/12/1991,,11.0
SNK 12,,,ICG92A,269.0,101.0,,,27.0,2.7,142.6,96.6,Data collected on 12/12/1991,,15.0
SPA 10 [COL],,,ICG92A,316.0,105.0,,,16.0,3.0,114.9,59.0,Data collected on 03/04/1991,,12.0
SPA 3 [COL],,,ICG92A,255.0,100.0,,,15.0,2.6,115.2,77.8,Data collected on 22/03/1991,,13.0
SPA 4 [COL],,,ICG92A,229.0,82.0,,,19.0,2.8,105.3,82.4,Data collected on 10/09/1990,,13.0
SPA 5 [COL],,,ICG92A,298.0,106.0,,,23.0,2.8,113.8,62.7,Data collected on 03/04/1991,,17.0
SPA 7 [COL],,,ICG92A,228.0,98.0,,,19.0,2.3,111.8,71.7,Data collected on 26/06/1991,,16.0
SPA 9 [COL],,,ICG92A,237.0,98.0,,,9.0,2.4,115.4,71.5,Data collected on 03/05/1991,,12.0
SPEC 138 /11,,,ICG92A,279.0,85.0,,,18.0,3.3,109.9,59.4,Data collected on 28/08/1991,,15.0
SPEC 160 /9,,,ICG92A,252.0,99.0,,,19.0,2.6,132.7,72.4,Data collected on 28/08/1991,,14.0
SPEC 184 /15,,,ICG92A,272.0,98.0,,,18.0,2.8,126.6,83.5,Data collected on 04/09/1991,,16.0
SPEC 189 /14,,,ICG92A,249.0,86.0,,,16.0,2.9,132.7,85.2,Data collected on 18/09/1991,,16.0
SPEC 194 /103,,,ICG92A,290.0,118.0,,,23.0,2.5,131.8,70.0,Data collected on 17/05/1991,,15.0
SPEC 194 /16,,,ICG92A,219.0,66.0,,,14.0,3.3,117.8,56.4,Data collected on 17/05/1991,,9.0
SPEC 194 /48,,,ICG92A,220.0,84.0,,,21.0,2.6,119.0,92.6,Data collected on 06/01/1992,,11.0
SPEC 41 /6-18,,,ICG92A,273.0,92.0,,,15.0,3.0,142.2,82.3,Data collected on 03/01/1992,,13.0
SPEC 41 /6-25,,,ICG92A,255.0,89.0,,,17.0,2.9,143.2,73.2,Data collected on 27/08/1991,,13.0
SPEC 41 /6-37,,,ICG92A,272.0,94.0,,,17.0,3.0,145.2,90.5,Data collected on 04/11/1991,,13.0
UF 11,,,ICG92A,265.0,98.0,,,23.0,2.7,94.8,76.2,Data collected on 06/09/1991,,17.0
UF 12,,,ICG92A,265.0,98.0,,,20.0,2.7,93.5,76.1,Data collected on 06/09/1991,,19.0
UF 168,,,ICG92A,277.0,96.0,,,22.0,2.9,123.0,69.8,Data collected on 21/08/1991,,16.0
UF 29,,,ICG92A,252.0,92.0,,,18.0,2.8,139.7,91.9,Data collected on 01/11/1991,,13.0
UF 667,,,ICG92A,222.0,78.0,,,16.0,2.8,109.3,58.9,Data collected on 14/06/1991,,13.0
UF 668,,,ICG92A,267.0,99.0,,,21.0,2.7,121.2,64.5,Data collected on 14/06/1991,,15.0
UF 677,,,ICG92A,262.0,91.0,,,23.0,2.9,106.8,73.0,Data collected on 06/09/1991,,18.0
VEN A 58 [ICT],,,ICG92A,309.0,117.0,,,18.0,2.7,128.6,66.6,Data collected on 04/04/1991,,16.0
VEN B 47 [ICT],,,ICG92A,310.0,103.0,,,26.0,3.0,125.2,60.0,Data collected on 04/04/1991,,17.0
VEN B 66 [ICT],,,ICG92A,279.0,115.0,,,21.0,2.5,107.1,83.0,Data collected on 08/04/1991,,22.0
