Clone name,Basal constriction,Apex form,Rugosity,Furrow depth,Furrow desc,Husk thickness,Length,Breadth,Colour,Weight,Length breadth ratio,Info
LCT EEN 82,slight,slightly obtuse,moderate,deep,paired,27 mm,167.0,98.0,anthocyanin absent,675.0,1.70,expedition data
LCT EEN 83,absent,slightly acute,moderate,intermediate,paired,20 mm,161.0,100.0,anthocyanin absent,770.0,1.61,expedition data
LCT EEN 84,absent,slightly acute,smooth,intermediate,paired,19 mm,129.0,88.0,anthocyanin absent,483.0,1.46,expedition data
LCT EEN 85,absent,slightly obtuse,moderate,intermediate,paired,19 mm,156.0,96.0,anthocyanin absent,633.0,1.62,expedition data
LCT EEN 86,absent,slightly acute,moderate,intermediate,paired,16 mm,153.0,91.0,anthocyanin absent,638.0,1.68,expedition data
LCT EEN 87,absent,slightly acute,moderate,intermediate,paired,11 mm,125.0,77.0,anthocyanin absent,345.0,1.62,expedition data
LCT EEN 88,absent,slightly obtuse,moderate,intermediate,paired,16 mm,159.0,95.0,anthocyanin absent,575.0,1.67,expedition data
LCT EEN 89,absent,slightly acute,moderate,intermediate,paired,16 mm,151.0,99.0,anthocyanin absent,628.0,1.52,expedition data
LCT EEN 90,slight,slightly obtuse,moderate,intermediate,paired,16 mm,135.0,86.0,anthocyanin absent,353.0,1.56,expedition data
LCT EEN 92,absent,slightly obtuse,moderate,intermediate,paired,18 mm,200.0,98.0,anthocyanin absent,850.0,2.04,expedition data
LCT EEN 93,absent,slightly acute,moderate,intermediate,paired,24 mm,150.0,102.0,anthocyanin absent,783.0,1.47,expedition data
LCT EEN 94,slight,acute,intense,deep,paired,15 mm,193.0,86.0,anthocyanin absent,522.0,2.24,genebank data
LCT EEN 97,moderate,attenuate,moderate,intermediate,paired,18 mm,175.0,90.0,anthocyanin absent,558.0,1.94,genebank data
