Clone name,Pathogen,Species,Reaction,Part,Notes
UF 677,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
UF 700,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
UF 701,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
UF 702,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
UF 703,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
UF 704,Phytophthora,P. palmivora,resistant,Pod,"Unripe, Attached and not wounded"
UF 705,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
UF 707,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
UF 708,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
UF 712,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
UF 713,Phytophthora,P. palmivora,moderately susceptible,Pod,"Unripe, Attached and not wounded"
UF 715,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
UF 717,Phytophthora,P. palmivora,moderate resistance,Pod,"Unripe, Attached and not wounded"
UF 93,Phytophthora,P. palmivora,susceptible,Pod,"Unripe, Attached and not wounded"
