Clone name,Basal constriction,Apex form,Rugosity,Furrow depth,Husk thickness,Length,Breadth,Colour,Weight,Pods per tree,Hardness,Length breadth ratio,Info,Notes
EET 156 [ECU],very slight,obtuse,intense,deep,11.3 mm (15.3 - 7.3),189.0,107.0,high / negligible - slight anthocyanin (ridge/furrow),889.0,3,hard,1.76,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.62,Accession TUR10275
EET 162 [ECU],slight,obtuse - slightly acute,moderate,intermediate,10.2 mm (12.9 - 7.5),171.0,87.0,absent anthocyanin,532.0,4,moderate,1.96,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.66,Accession TUR10276
EET 164 [ECU],moderate - slight,obtuse,slight,intermediate,15.35 mm (18.6 - 12.1),163.0,84.0,absent anthocyanin,449.0,7,soft,1.94,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10277
EET 183 [ECU],very slight,slightly acute,moderate,superficial - intermediate,12.25 mm (14.6 - 9.9),179.0,80.0,absent anthocyanin,493.0,7,soft,2.23,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.53,Accession TUR10278
EET 19 [ECU],absent,obtuse,slight,deep,9.6 mm (12.2 - 7),167.0,84.0,moderate anthocyanin,526.0,5,moderate,1.98,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.59,Accession TUR10232
EET 228 [ECU],moderate,slightly acute,moderate,deep,12.4 mm (15.9 - 8.9),231.0,98.0,absent anthocyanin,814.0,4,hard,2.35,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.58,Accession TUR10279
EET 250 [ECU],absent,slightly acute,very slight,intermediate,9.15 mm (11.8 - 6.5),168.0,85.0,absent anthocyanin,820.0,2,moderate,1.97,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.57,Accession TUR10280
EET 338 [ECU],strong,slightly acute - acute,slight,superficial - intermediate,10.05 mm (11.8 - 8.3),182.0,74.0,moderate / slight anthocyanin (ridge/furrow),423.0,8,soft,2.45,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.76,Accession TUR10282
EET 353 [ECU],absent,obtuse - slightly acute,slight,superficial - intermediate,9.9 mm (12.3 - 7.5),172.0,88.0,absent anthocyanin,585.0,1,hard,1.95,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.88,Accession TUR10283
EET 364 [ECU],slight,slightly acute,moderate,superficial - intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10284
EET 376 [ECU],moderate,slightly acute,intense,deep,10.55 mm (14.6 - 6.5),220.0,97.0,absent anthocyanin,734.0,4,moderate,2.26,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.69,Accession TUR10285
EET 377 [ECU],slight,obtuse,moderate,intermediate,9.55 mm (12.1 - 7),174.0,86.0,absent anthocyanin,520.0,2,moderate,2.02,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10286
EET 390 [ECU],absent,obtuse - slightly acute,slight,intermediate,-,-,-,absent anthocyanin,-,1,-,-,-,Accession TUR10287
EET 397 [ECU],absent,slightly acute - acute,slight,intermediate,12 mm (15.5 - 8.5),189.0,85.0,absent anthocyanin,635.0,5,moderate,2.22,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.85,Accession TUR10288
EET 399 [ECU],moderate,slightly acute,intense,intermediate - deep,7.05 mm (9.3 - 4.8),198.0,82.0,absent anthocyanin,472.0,3,soft,2.41,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.53,Accession TUR10289
EET 400 [ECU],slight,slightly acute,moderate,intermediate,7.6 mm (9.7 - 5.5),161.0,76.0,absent anthocyanin,409.0,5,moderate,2.11,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10290
EET 41 [ECU],slight,obtuse,very slight,imperceptible - superficial,8.3 mm (10 - 6.6),146.0,83.0,absent anthocyanin,425.0,2,hard,1.75,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.86,Accession TUR10262
EET 45 [ECU],absent,slightly acute - acute,moderate,intermediate,-,-,-,absent anthocyanin,-,3,-,-,-,Accession TUR10263
EET 48 [ECU],moderate,slightly acute,slight - moderate,superficial - intermediate,11.8 mm (14.7 - 8.9),189.0,91.0,absent anthocyanin,655.0,5,moderate,2.07,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.67,Accession TUR10264
EET 53 [ECU],very slight,obtuse - slightly acute,moderate,intermediate - deep,12.4 mm (15.1 - 9.7),195.0,95.0,absent anthocyanin,692.0,6,hard,2.05,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.67,Accession TUR10265
EET 59 [ECU],very slight,slightly acute,moderate,intermediate - deep,12.2 mm (15.3 - 9.1),171.0,85.0,absent anthocyanin,522.0,7,soft,2.01,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10266
EET 62 [ECU],moderate - slight,slightly acute,slight - moderate,intermediate,11.35 mm (14.2 - 8.5),175.0,95.0,absent anthocyanin,608.0,3,hard,1.84,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10267
EET 64 [ECU],slight,slightly acute,moderate,intermediate - deep,11.95 mm (14.9 - 9),213.0,94.0,absent anthocyanin,786.0,3,hard,2.26,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.67,Accession TUR10268
EET 67 [ECU],slight,slightly acute,moderate,intermediate,11 mm (13.3 - 8.7),167.0,79.0,absent anthocyanin,516.0,5,moderate,2.11,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.63,Accession TUR10269
EET 75 [ECU],absent,slightly obtuse,slight,deep,12.9 mm (17.2 - 8.6),154.0,91.0,moderate / absent anthocyanin (ridge/furrow),568.0,7,soft,1.69,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.53,Accession TUR10270
EET 80 [ECU],absent,slightly acute,moderate,superficial - intermediate,11.55 mm (14.3 - 8.8),168.0,91.0,absent anthocyanin,565.0,7,soft,1.84,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.56,Accession TUR10271
EET 94 [ECU],very slight,slightly acute,slight,intermediate,12.4 mm (15 - 9.8),208.0,97.0,absent anthocyanin,716.0,4,hard,2.14,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.62,Accession TUR10272
EET 95 [ECU],very slight,slightly acute,moderate,intermediate - deep,11.15 mm (13.9 - 8.4),189.0,92.0,absent anthocyanin,690.0,7,moderate,2.05,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.66,Accession TUR10273
EET 96 [ECU],very slight,slightly acute,slight,intermediate - deep,-,-,-,absent anthocyanin,-,2,-,-,-,Accession TUR10274
G 23 [GET],moderate - slight,slightly acute,slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10292
G 8 [GET],absent,obtuse,slight,intermediate,12.05 mm (15.1 - 9),166.0,104.0,high / moderate anthocyanin (ridge/furrow),681.0,2,moderate,1.59,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.64,Accession TUR10291
GA 11 [HAI],absent,obtuse - slightly acute,very slight,intermediate,8.95 mm (11.4 - 6.5),161.0,79.0,high / negligible - slight anthocyanin (ridge/furrow),438.0,5,moderate,2.03,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10293
GS 29,absent,slightly acute,moderate,intermediate - deep,11.8 mm (14.3 - 9.3),196.0,93.0,high - intense / high anthocyanin (ridge/furrow),652.0,5,moderate,2.10,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10296
GS 29,moderate - slight,slightly acute - acute,moderate,intermediate,-,-,-,absent anthocyanin,-,3,-,-,-,Accession TUR10295
GS 36,very slight,acute,moderate,intermediate,14.15 mm (17 - 11.3),237.0,105.0,high - intense / moderate - high anthocyanin (ridge/furrow),1062.0,5,moderate,2.25,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10297
GS 78,absent,obtuse - slightly acute,very slight,imperceptible - superficial,-,-,-,absent anthocyanin,-,1,-,-,-,Accession TUR10298
ICS 1,absent,slightly acute,slight,superficial - intermediate,10.3 mm (12.5 - 8.1),193.0,94.0,moderate / slight anthocyanin (ridge/furrow),648.0,4,soft,2.05,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.59,Accession TUR10309
ICS 100,absent,acute,slight,superficial - intermediate,10.9 mm (13.3 - 8.5),167.0,86.0,absent anthocyanin,530.0,5,moderate,1.94,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10337
ICS 117,very slight,slightly acute,slight,superficial,10.35 mm (12.5 - 8.2),194.0,91.0,moderate / slight anthocyanin (ridge/furrow),638.0,4,soft,2.13,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10329
ICS 133,moderate,attenuate,moderate,intermediate - deep,10.15 mm (12.2 - 8.1),212.0,87.0,absent anthocyanin,582.0,3,moderate,2.43,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10338
ICS 135,absent,slightly acute,moderate,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10332
ICS 137,slight,acute,moderate,superficial - intermediate,11.85 mm (14.5 - 9.2),235.0,93.0,moderate / negligible - slight anthocyanin (ridge/furrow),790.0,3,moderate,2.52,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10333
ICS 138,slight,acute - attenuate,intense,intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10330
ICS 16,absent,obtuse,slight,imperceptible - superficial,14.6 mm (17.5 - 11.7),179.0,105.0,high - intense / high anthocyanin (ridge/furrow),863.0,4,moderate,1.70,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.76,Accession TUR10313
ICS 39,slight,slightly acute,moderate,intermediate,10.3 mm (12.7 - 7.9),178.0,94.0,absent anthocyanin,595.0,7,moderate,1.89,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10315
ICS 40,slight,attenuate,moderate,intermediate,11 mm (13.4 - 8.6),217.0,92.0,absent anthocyanin,733.0,3,moderate,2.35,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.67,Accession TUR10316
ICS 40,absent,slightly obtuse,smooth,imperceptible - superficial,8.9 mm (10.5 - 7.3),126.0,93.0,absent anthocyanin,493.0,7,moderate,1.35,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.80,Accession TUR10321
ICS 43,slight,slightly acute,slight,superficial,8.85 mm (10.9 - 6.8),177.0,77.0,moderate / slight - moderate anthocyanin (ridge/furrow),505.0,4,soft,2.29,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10317
ICS 44,very slight,slightly acute,moderate,superficial - intermediate,11.2 mm (13.8 - 8.6),187.0,93.0,high / moderate anthocyanin (ridge/furrow),739.0,5,moderate,2.01,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10318
ICS 45,moderate - slight,obtuse,slight,imperceptible - superficial,-,-,-,absent anthocyanin,-,3,-,-,-,Accession TUR10319
ICS 46,absent,acute,slight,superficial - intermediate,-,-,-,slight / absent anthocyanin (ridge/furrow),-,3,-,-,-,Accession TUR10320
ICS 47,very slight,acute,intense,intermediate - deep,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10322
ICS 53,very slight,slightly acute - acute,moderate,superficial - intermediate,10.3 mm (13.1 - 7.5),180.0,85.0,moderate / slight - moderate anthocyanin (ridge/furrow),534.0,3,soft,2.11,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.86,Accession TUR10323
ICS 6,very slight,slightly acute,slight,superficial - intermediate,11.95 mm (14.8 - 9.1),199.0,98.0,absent anthocyanin,816.0,2,hard,2.03,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.84,Accession TUR10311
ICS 60,very slight,acute,slight,intermediate,9.9 mm (12.4 - 7.4),206.0,85.0,absent anthocyanin,602.0,3,soft,2.42,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10325
ICS 8,absent,obtuse - slightly acute,slight,superficial,-,-,-,absent anthocyanin,-,1,-,-,-,Accession TUR10312
ICS 84,absent,slightly acute,slight,intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10327
ICS 89,very slight,obtuse - slightly acute,slight - moderate,intermediate,13.2 mm (16.3 - 10.1),183.0,95.0,absent anthocyanin,727.0,6,soft,1.92,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.82,Accession TUR10326
ICS 91,absent,acute,moderate,intermediate,-,-,-,moderate / absent anthocyanin (ridge/furrow),-,1,-,-,-,Accession TUR10328
ICS 95,absent,acute,moderate,intermediate,8.6 mm (10.6 - 6.6),177.0,74.0,high / moderate anthocyanin (ridge/furrow),419.0,6,soft,2.39,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.62,Accession TUR10335
ICS 98,very slight,slightly acute,slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10336
IMC 60,absent,slightly obtuse - obtuse,very slight,imperceptible - superficial,10.95 mm (12.6 - 9.3),168.0,91.0,absent anthocyanin,639.0,3,soft,1.84,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.49,Accession TUR10339
IMC 67,very slight,slightly acute,slight,superficial,10.3 mm (12 - 8.6),197.0,93.0,absent anthocyanin,735.0,5,hard,2.11,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10341
IMC 67,absent,slightly acute,moderate,superficial,-,-,-,absent anthocyanin,-,3,-,-,-,Accession TUR10340
IQ 1 [BRA],moderate,slightly acute,slight,intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10342
JACA,very slight,obtuse - slightly acute,slight,superficial - intermediate,9.45 mm (11.6 - 7.3),138.0,79.0,absent anthocyanin,375.0,2,hard,1.74,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.93,Accession TUR10343
LA ESMIDA AMARILLO,absent,obtuse,moderate,superficial - intermediate,10.95 mm (14.1 - 7.8),171.0,95.0,high - intense / absent anthocyanin (ridge/furrow),715.0,2,moderate,1.80,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.61,Accession TUR10345
La Esmida Roja,moderate,attenuate,-,-,11.85 mm (14.8 - 8.9),208.0,83.0,high - intense / high anthocyanin (ridge/furrow),668.0,1,moderate,2.50,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.11,Accession TUR10346
LAFI 7,moderate - slight,obtuse - slightly acute,slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10347
LARANJA,absent,rounded,smooth - very slight,imperceptible,-,69.0,74.0,absent anthocyanin,208.0,7,soft,0.93,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.92,Accession TUR10344
LF 1,very slight,slightly acute,slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10348
MA 12 [BRA],moderate,slightly acute,very slight,imperceptible - superficial,7.9 mm (9.5 - 6.3),171.0,77.0,absent anthocyanin,427.0,6,hard,2.22,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10351
MA 13 [BRA],moderate,obtuse,very slight,imperceptible - superficial,7.7 mm (9.2 - 6.2),142.0,79.0,absent anthocyanin,370.0,7,hard,1.79,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.80,Accession TUR10352
MATINA,very slight,obtuse,slight,intermediate,9.55 mm (12 - 7.1),148.0,93.0,absent anthocyanin,579.0,1,hard,1.59,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10353
MEXICO 12,moderate,slightly acute - acute,smooth,imperceptible - superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10362
MEXICO 5,absent,slightly acute - acute,smooth - very slight,imperceptible - superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10357
MOCORONGO,slight,obtuse,very slight,imperceptible - superficial,7.4 mm (9.1 - 5.7),153.0,84.0,negligible / absent anthocyanin (ridge/furrow),447.0,7,hard,1.82,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.69,Accession TUR10368
NA 34,very slight,slightly acute,moderate,intermediate,10.1 mm (12.4 - 7.8),164.0,84.0,absent anthocyanin,449.0,7,moderate,1.95,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.62,Accession TUR10372
OC 77 [VEN],absent,slightly acute,moderate,superficial,13 mm (15.6 - 10.4),212.0,99.0,high / moderate anthocyanin (ridge/furrow),913.0,4,moderate,2.14,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.73,Accession TUR10374
P 10 [MEX],very slight,acute - attenuate,intense,intermediate,11.2 mm (14.2 - 8.2),234.0,87.0,absent anthocyanin,781.0,7,soft,2.68,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.69,Accession TUR10376
P 19 [MEX],moderate - slight,slightly acute,moderate,superficial - intermediate,8.85 mm (10.7 - 7),176.0,76.0,absent anthocyanin,439.0,3,hard,2.31,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10382
P 22 [UNK],moderate,acute,moderate - intense,superficial - intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10384
P 43 [MEX],very slight,slightly acute - acute,moderate,deep,-,-,-,absent anthocyanin,-,1,-,-,-,Accession TUR10386
P 8 [UNK],absent,slightly acute - acute,moderate,superficial,-,-,-,negligible - slight / negligible anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10375
PA 121 [PER],very slight,obtuse,slight,intermediate,7.25 mm (9.2 - 5.3),151.0,82.0,absent anthocyanin,389.0,5,moderate,1.84,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.81,Accession TUR10391
PA 121 [PER],very slight,slightly acute,moderate,superficial - intermediate,7 mm (8.5 - 5.5),174.0,82.0,absent anthocyanin,427.0,7,soft,2.12,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.77,Accession TUR10392
PA 13 [PER],moderate,acute,intense,intermediate,9.9 mm (12.4 - 7.4),190.0,84.0,absent anthocyanin,550.0,5,moderate,2.26,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.61,Accession TUR10387
PA 16 [PER],slight,obtuse - slightly acute,very slight,imperceptible,9.05 mm (10.3 - 7.8),168.0,81.0,absent anthocyanin,441.0,5,hard,2.07,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.91,Accession TUR10388
PA 16 [PER],moderate - slight,slightly acute - acute,very slight,imperceptible - superficial,8.4 mm (10 - 6.8),157.0,81.0,absent anthocyanin,408.0,6,moderate,1.93,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.53,Accession TUR10389
PA 169 [PER],slight,slightly acute,smooth - very slight,imperceptible - superficial,9.25 mm (10.9 - 7.6),159.0,81.0,absent anthocyanin,474.0,5,soft,1.96,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10393
PA 81 [PER],slight,slightly acute,very slight,imperceptible - superficial,9.1 mm (10.8 - 7.4),174.0,79.0,absent anthocyanin,468.0,3,moderate,2.20,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.81,Accession TUR10390
PARA [BRA],moderate - slight,obtuse,smooth - very slight,imperceptible,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10394
PORCELANA 3,very slight,acute,intense,deep,11 mm (14.6 - 7.4),204.0,78.0,absent anthocyanin,604.0,2,soft,2.61,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.66,Accession TUR10397
POUND 12,very slight,obtuse,slight,superficial,9.6 mm (11.7 - 7.5),169.0,84.0,absent anthocyanin,504.0,3,moderate,2.01,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10400
POUND 12,very slight,obtuse,moderate,superficial - intermediate,10.15 mm (12.2 - 8.1),170.0,86.0,absent anthocyanin,555.0,7,moderate,1.97,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10401
POUND 12,moderate - slight,obtuse,slight - moderate,superficial - intermediate,-,-,-,absent anthocyanin,-,2,-,-,-,Accession TUR10378
POUND 15,moderate,slightly acute,slight,superficial - intermediate,7.95 mm (9.5 - 6.4),131.0,77.0,absent anthocyanin,432.0,5,moderate,1.70,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.56,Accession TUR10379
POUND 16,very slight,acute,slight,imperceptible - superficial,8.8 mm (10.2 - 7.4),170.0,81.0,absent anthocyanin,476.0,5,moderate,2.09,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10380
POUND 19,very slight,slightly acute,slight,intermediate,7.55 mm (9.6 - 5.5),148.0,78.0,absent anthocyanin,308.0,7,soft,1.89,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10381
POUND 20,moderate,obtuse,moderate,superficial - intermediate,9.45 mm (11.4 - 7.5),157.0,85.0,absent anthocyanin,508.0,5,hard,1.84,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.73,Accession TUR10383
POUND 23,slight,obtuse,slight,intermediate,7.55 mm (9.3 - 5.8),142.0,79.0,absent anthocyanin,366.0,7,moderate,1.79,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.89,Accession TUR10385
POUND 7,absent,obtuse,slight,superficial - intermediate,9.4 mm (11.5 - 7.3),151.0,76.0,absent anthocyanin,418.0,6,hard,1.98,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10398
POUND 7,absent,obtuse - slightly acute,slight,superficial,10.45 mm (12.9 - 8),185.0,92.0,absent anthocyanin,723.0,6,hard,2.01,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.63,Accession TUR10399
PV 4 [CRI],moderate - slight,slightly acute,slight,superficial,10.55 mm (12.9 - 8.2),213.0,91.0,absent anthocyanin,758.0,1,moderate,2.34,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10407
RB 29 [BRA],slight,obtuse,smooth - very slight,superficial,-,-,-,absent anthocyanin,-,1,-,-,-,Accession TUR10446
RB 37 [BRA],very slight,obtuse - slightly acute,slight,superficial - intermediate,9.35 mm (11.3 - 7.4),151.0,89.0,absent anthocyanin,514.0,5,hard,1.69,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10447
RB 39 [BRA],very slight,obtuse,slight,superficial,9.3 mm (11.4 - 7.2),158.0,85.0,absent anthocyanin,454.0,1,moderate,1.85,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.80,Accession TUR10448
RB 41 [BRA],very slight,slightly acute,moderate,superficial - intermediate,7.8 mm (10.3 - 5.3),168.0,72.0,absent anthocyanin,326.0,7,moderate,2.33,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10450
RB 46 [BRA],absent,slightly acute,moderate,superficial - intermediate,7.65 mm (9.9 - 5.4),159.0,73.0,absent anthocyanin,312.0,6,moderate,2.17,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10452
RB 47 [BRA],slight,slightly acute,slight,imperceptible - superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10453
RB 49 [BRA],absent,slightly acute,slight,superficial,-,-,-,absent anthocyanin,-,1,-,-,-,Accession TUR10454
RIM 10 [MEX],moderate,acute,moderate,intermediate,11.35 mm (14.1 - 8.6),231.0,93.0,absent anthocyanin,793.0,5,moderate,2.48,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.69,Accession TUR10419
RIM 100 [MEX],slight,slightly acute - acute,moderate,superficial,-,-,-,moderate / slight anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10439
RIM 101 [MEX],very slight,acute,moderate,intermediate,-,-,-,moderate / slight - moderate anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10440
RIM 105 [MEX],very slight,acute,moderate,intermediate,10.8 mm (13.1 - 8.5),196.0,85.0,absent anthocyanin,603.0,4,-,2.30,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10441
RIM 106 [MEX],slight,acute,slight - moderate,superficial,-,-,-,absent anthocyanin,-,5,-,-,-,Accession TUR10442
RIM 113 [MEX],slight,acute,moderate,superficial,10.6 mm (13.3 - 7.9),233.0,87.0,absent anthocyanin,750.0,3,moderate,2.67,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10443
RIM 117 [MEX],absent,slightly acute - acute,moderate,superficial,11.45 mm (14.1 - 8.8),212.0,90.0,high / slight anthocyanin (ridge/furrow),729.0,5,-,2.35,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10444
RIM 13 [MEX],slight,acute,moderate,superficial,9.9 mm (12.6 - 7.2),221.0,84.0,absent anthocyanin,598.0,7,hard,2.63,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.67,Accession TUR10420
RIM 15 [MEX],moderate,acute - attenuate,moderate,superficial,9.05 mm (11.8 - 6.3),214.0,79.0,absent anthocyanin,525.0,4,moderate,2.70,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10421
RIM 189 [MEX],strong,acute - attenuate,intense,intermediate,9.4 mm (11.9 - 6.9),195.0,84.0,absent anthocyanin,521.0,5,moderate,2.32,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10585
RIM 19 [MEX],slight,acute - attenuate,intense,superficial,10.6 mm (13.3 - 7.9),221.0,81.0,absent anthocyanin,599.0,3,moderate,2.72,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10422
RIM 2 [MEX],absent,slightly acute,moderate,superficial,10.1 mm (12.3 - 7.9),200.0,86.0,absent anthocyanin,569.0,6,moderate,2.32,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10415
RIM 21 [MEX],very slight,acute,moderate,superficial - intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10423
RIM 23 [MEX],very slight,acute,moderate,superficial,-,-,-,slight / negligible anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10424
RIM 24 [MEX],slight,acute,slight - moderate,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10425
RIM 39 [MEX],slight,acute,moderate,superficial,-,-,-,slight / negligible - slight anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10427
RIM 41 [MEX],slight,acute,moderate,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10428
RIM 43 [MEX],slight,acute,moderate,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10429
RIM 44 [MEX],absent,slightly acute,slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10430
RIM 48 [MEX],moderate - slight,acute,moderate,superficial,-,-,-,moderate / absent anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10431
RIM 52 [MEX],slight,slightly acute - acute,moderate,superficial - intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10432
RIM 56 [MEX],slight,slightly acute - acute,moderate,superficial - intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10433
RIM 6 [MEX],slight,acute,slight - moderate,superficial - intermediate,-,-,-,moderate / negligible - slight anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10416
RIM 68 [MEX],slight,obtuse,slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10434
RIM 71 [MEX],absent,slightly acute - acute,slight - moderate,superficial,10.55 mm (13 - 8.1),206.0,86.0,negligible / absent anthocyanin (ridge/furrow),625.0,4,hard,2.39,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.77,Accession TUR10435
RIM 75 [MEX],very slight,attenuate,intense,intermediate - deep,10.9 mm (13.8 - 8),238.0,90.0,absent anthocyanin,776.0,5,moderate,2.64,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10436
