Clone name,Plant,NCS,Population,Coeff cl,Subcluster,Coeff scl
LCT EEN 408,-,4,Purus,0.39,n-a,-
LCT EEN 409,-,4,Purus,0.382,n-a,-
LCT EEN 411,-,3,Purus,0.49,n-a,-
LCT EEN 412,-,4,Purus,0.408,n-a,-
LCT EEN 413,-,4,Purus,0.39,n-a,-
LCT EEN 414,-,3,Purus,0.597,n-a,-
LCT EEN 415,-,4,Purus,0.41,n-a,-
LCT EEN 421,-,1,Curaray,0.995,Upano R,0.992
LCT EEN 427,-,1,Curaray,0.856,Upano R,0.917
LCT EEN 429,-,1,Curaray,0.842,Upano R,0.797
LCT EEN 432,-,1,Curaray,0.964,Upano R,0.993
LCT EEN 434,-,1,Curaray,0.977,Upano R,0.989
LCT EEN 46,-,4,Nacional,0.429,n-a,-
LCT EEN 47,-,1,Curaray,0.988,Coca R - Napo R,0.851
LCT EEN 49,-,1,Curaray,0.995,Coca R - Napo R,0.917
LCT EEN 52,-,1,Curaray,0.989,Coca R - Napo R,0.903
LCT EEN 57,-,2,Iquitos,0.255,n-a,-
LCT EEN 57,-,1,Curaray,0.992,Coca R - Napo R,0.823
LCT EEN 60,-,1,Curaray,0.535,n-a,-
LCT EEN 63,-,1,Curaray,0.998,Coca R - Napo R,0.991
LCT EEN 65,-,1,Curaray,0.998,Coca R - Napo R,0.989
LCT EEN 73,-,1,Iquitos,0.516,n-a,-
LCT EEN 73,-,2,Nacional,0.776,all,0.744
LCT EEN 74,-,2,Nacional,0.705,all,0.865
LCT EEN 80,-,1,Curaray,0.604,n-a,-
LCT EEN 81,-,2,Nacional,0.604,n-a,-
LCT EEN 87,-,1,Curaray,0.989,Upano R,0.973
LCT EEN 91,-,2,Nacional,0.937,all,0.583
LCT EEN 94,-,1,Curaray,0.547,n-a,-
LIB 1,-,1,Criollo,0.998,Belize,0.934
LIB 2,-,1,Criollo,0.995,Belize,0.960
MA 11 [BRA],2,3,Amelonado,0.499,n-a,-
MA 12 [BRA],3,2,Amelonado,0.465,n-a,-
MA 13 [BRA],9,3,Amelonado,0.563,n-a,-
MA 14 [BRA],9,2,Amelonado,0.333,n-a,-
MA 15 [BRA],21,3,Amelonado,0.351,n-a,-
MO 118,-,2,Nacional,0.996,Morona,0.995
MO 121,-,2,Nacional,0.971,Morona,0.995
MO 122,-,2,Nacional,0.961,all,0.547
MO 125,-,2,Nacional,0.991,Morona,0.991
MO 14,-,2,Nacional,0.995,Morona,0.996
MO 20,-,2,Nacional,0.983,Morona,0.919
MO 76,-,2,Nacional,0.917,all,0.709
MO 80,-,2,Nacional,0.991,Morona,0.844
MO 84,-,2,Nacional,0.925,Morona,0.686
MO 90,-,2,Nacional,0.996,Morona,0.995
MO 94,-,2,Nacional,0.989,all,0.803
MO 96,-,2,Nacional,0.992,Morona,0.993
MO 99,-,2,Nacional,0.995,Morona,0.996
NA 1,-,1,Nanay,0.571,n-a,-
NA 1 /19,-,1,Nanay,0.609,n-a,-
NA 106,-,1,Nanay,0.998,Nanay I,0.625
NA 110,-,1,Nanay,0.608,n-a,-
NA 111,-,1,Nanay,0.604,n-a,-
NA 118,-,1,Nanay,0.998,Nanay III,0.992
NA 12,-,1,Nanay,0.57,n-a,-
NA 127,-,1,Nanay,0.998,Nanay III,0.992
NA 129,-,1,Nanay,0.998,Nanay I,0.992
NA 13,-,1,Nanay,0.583,n-a,-
NA 14,-,1,Nanay,0.573,n-a,-
NA 141,-,1,Nanay,0.755,Nanay II,0.989
NA 149,-,1,Nanay,0.882,all,0.555
NA 154,-,1,Nanay,0.913,Nanay III,0.545
NA 155,-,1,Nanay,0.846,all,0.589
NA 156,-,1,Nanay,0.996,Nanay III,0.989
NA 157,-,1,Nanay,0.997,Nanay I,0.510
NA 16,-,1,Nanay,0.624,n-a,-
NA 168,-,1,Nanay,0.807,all,0.485
NA 170,-,1,Nanay,0.521,n-a,-
NA 178,-,1,Nanay,0.998,Nanay I,0.992
NA 181,-,1,Nanay,0.728,all,0.991
NA 183,-,1,Nanay,0.786,all,0.983
NA 184,-,1,Nanay,0.998,Nanay I,0.992
NA 186,-,1,Nanay,0.997,Nanay I,0.588
NA 187,-,1,Nanay,0.738,Nanay II,0.989
NA 189,-,1,Nanay,0.766,Nanay II,0.991
NA 191,-,1,Nanay,0.981,Nanay III,0.536
NA 194,-,1,Nanay,0.998,Nanay III,0.994
NA 204,-,1,Nanay,0.997,Nanay I,0.994
NA 206,-,1,Nanay,0.636,n-a,-
NA 217,-,1,Nanay,0.998,Nanay I,0.991
NA 226,-,1,Nanay,0.787,Nanay II,0.501
NA 227,-,1,Nanay,0.67,n-a,-
NA 228,-,1,Nanay,0.997,Nanay I,0.970
NA 229,-,1,Nanay,0.574,n-a,-
NA 232,-,1,Nanay,0.998,Nanay I,0.658
NA 235,-,1,Nanay,0.789,Nanay II,0.987
NA 241,-,1,Nanay,0.814,Nanay II,0.954
NA 244,-,1,Nanay,0.775,Nanay II,0.955
NA 246,-,1,Nanay,0.805,all,0.661
NA 249,-,1,Nanay,0.998,Nanay III,0.989
NA 251,-,1,Contamana,0.853,Nanay VII,0.998
NA 254,-,1,Nanay,0.997,Nanay I,0.975
NA 256,-,2,Iquitos,0.644,n-a,-
NA 258,-,1,Nanay,0.603,n-a,-
NA 26,-,1,Nanay,0.552,n-a,-
NA 268,-,2,Iquitos,0.43,n-a,-
NA 279,-,1,Nanay,0.997,Nanay III,0.843
NA 280,-,1,Nanay,0.998,Nanay I,0.993
NA 283,-,1,Nanay,0.998,Nanay I,0.950
NA 286,-,1,Nanay,0.998,Nanay I,0.520
NA 289,-,1,Nanay,0.998,Nanay I,0.991
NA 3,-,1,Nanay,0.602,n-a,-
NA 30,-,1,Nanay,0.998,Nanay III,0.994
NA 311,-,1,Nanay,0.998,Nanay III,0.970
NA 32,-,2,Iquitos,0.507,n-a,-
NA 322,-,1,Nanay,0.998,Nanay I,0.991
NA 326,-,1,Nanay,0.998,Nanay III,0.587
NA 327,-,1,Nanay,0.868,Nanay I,0.559
NA 329,-,1,Nanay,0.998,Nanay I,0.994
NA 33,-,1,Nanay,0.617,n-a,-
NA 331,-,1,Nanay,0.998,Nanay I,0.992
NA 335,-,1,Nanay,0.998,Nanay III,0.963
NA 337,-,1,Nanay,0.819,Nanay II,0.656
NA 34,-,2,Iquitos,0.52,n-a,-
NA 342,-,1,Nanay,0.993,Nanay III,0.572
NA 35,-,1,Nanay,0.785,all,0.518
NA 359,-,1,Nanay,0.982,Nanay III,0.515
NA 370,-,1,Nanay,0.993,Nanay III,0.550
NA 39,-,1,Iquitos,0.485,n-a,-
NA 399,-,1,Nanay,0.997,all,0.925
NA 40,-,1,Nanay,0.998,Nanay III,0.630
NA 406,-,1,Nanay,0.626,n-a,-
NA 409,-,1,Iquitos,0.521,n-a,-
NA 427,-,1,Nanay,0.998,Nanay I,0.983
NA 43,-,1,Nanay,0.96,Nanay III,0.766
NA 432,-,1,Nanay,0.84,all,0.631
NA 435,-,1,Nanay,0.998,Nanay I,0.992
NA 45,-,1,Nanay,0.951,Nanay III,0.497
NA 46,-,1,Nanay,0.959,Nanay III,0.495
NA 47,-,1,Contamana,0.817,Nanay VII,0.999
NA 504,-,1,Nanay,0.998,Nanay I,0.992
NA 507,-,1,Nanay,0.998,Nanay I,0.510
NA 519,-,1,Nanay,0.995,Nanay III,0.502
NA 528,-,1,Nanay,0.625,n-a,-
NA 58,-,1,Nanay,0.777,all,0.956
NA 61,-,1,Nanay,0.554,n-a,-
NA 62,-,1,Nanay,0.578,n-a,-
NA 66,-,1,Nanay,0.569,n-a,-
NA 670,-,1,Nanay,0.781,all,0.601
NA 672,-,1,Nanay,0.998,Nanay I,0.993
NA 674,-,1,Nanay,0.997,Nanay III,0.978
NA 675,-,1,Nanay,0.998,Nanay I,0.991
NA 678,-,1,Nanay,0.998,Nanay III,0.993
NA 68,-,1,Iquitos,0.638,n-a,-
NA 685,-,1,Nanay,0.993,Nanay III,0.973
NA 687,-,1,Nanay,0.996,Nanay I,0.981
NA 689,-,1,Nanay,0.998,Nanay I,0.989
NA 69,-,1,Contamana,0.76,Nanay VII,0.998
NA 694,-,1,Contamana,0.875,Nanay VII,0.999
NA 695,-,1,Contamana,0.831,Nanay VII,0.999
NA 697,-,1,Nanay,0.998,Nanay III,0.599
NA 699,-,1,Nanay,0.75,all,0.649
NA 70,-,1,Nanay,0.664,n-a,-
NA 702,-,1,Nanay,0.976,Nanay III,0.855
NA 705,-,1,Nanay,0.998,Nanay I,0.524
NA 708,-,1,Nanay,0.998,Nanay III,0.992
NA 710,-,1,Nanay,0.997,Nanay I,0.527
NA 711,-,1,Contamana,0.86,Nanay VII,0.978
NA 712,-,2,Nacional,0.383,n-a,-
NA 713,-,1,Contamana,0.546,n-a,-
NA 715,-,1,Nanay,0.993,Nanay III,0.551
NA 718,-,1,Nanay,0.998,Nanay III,0.991
NA 719,-,1,Nanay,0.997,all,0.974
NA 720,-,1,Nanay,0.833,all,0.523
NA 728,-,1,Nanay,0.998,Nanay III,0.983
NA 730,-,1,Nanay,0.998,Nanay I,0.992
NA 732,-,1,Nanay,0.998,Nanay III,0.501
NA 739,-,1,Contamana,0.882,Nanay VII,0.999
NA 74,-,1,Nanay,0.764,Nanay II,0.966
NA 746,-,1,Nanay,0.932,all,0.602
NA 747,-,1,Contamana,0.836,Nanay VII,0.993
NA 753,-,1,Nanay,0.711,all,0.991
NA 756,-,1,Nanay,0.993,Nanay III,0.983
NA 763,-,1,Nanay,0.882,Nanay III,0.482
NA 766,-,1,Nanay,0.998,Nanay I,0.991
NA 768,-,1,Nanay,0.535,n-a,-
NA 770,-,1,Nanay,0.998,Nanay I,0.991
NA 771,-,1,Nanay,0.975,Nanay III,0.952
NA 773,-,1,Nanay,0.998,Nanay I,0.994
NA 79,-,1,Nanay,0.754,Nanay II,0.588
NA 796,-,1,Nanay,0.846,all,0.654
NA 8,-,1,Nanay,0.585,n-a,-
NA 802,-,1,Nanay,0.997,Nanay I,0.989
NA 804,-,1,Nanay,0.887,all,0.501
NA 807,-,1,Nanay,0.621,n-a,-
NA 824,-,1,Nanay,0.836,all,0.579
NA 831,-,1,Nanay,0.602,n-a,-
NA 84,-,1,Nanay,0.992,Nanay I,0.542
NA 841,-,1,Nanay,0.79,all,0.698
NA 847,-,1,Nanay,0.802,Nanay II,0.962
NA 860,-,1,Nanay,0.983,Nanay I,0.953
NA 867,-,1,Nanay,0.953,all,0.988
NA 87,-,1,Nanay,0.554,n-a,-
NA 877,-,1,Nanay,0.998,Nanay I,0.990
NA 888,-,1,Nanay,0.954,all,0.984
NA 90,-,1,Nanay,0.997,Nanay I,0.506
NA 92,-,1,Nanay,0.977,Nanay III,0.959
NA 929,-,1,Nanay,0.997,Nanay I,0.991
NA 937,-,1,Nanay,0.997,Nanay III,0.499
NA 95,-,1,Nanay,0.76,Nanay II,0.572
NA 950,-,1,Nanay,0.683,n-a,-
NA 98,-,1,Nanay,0.842,all,0.652
NAPO 1 [CHA],-,1,Curaray,0.644,n-a,-
NAPO 19 [CHA],-,1,Curaray,0.997,Coca R - Napo R,0.811
NAPO 24 [CHA],-,1,Curaray,0.997,Coca R - Napo R,0.982
NAPO 25 [CHA],-,1,Curaray,0.994,Coca R - Napo R,0.858
NAPO 3 [CHA],-,1,Curaray,0.647,n-a,-
NAPO 30 [CHA],-,1,Curaray,0.846,Coca R - Napo R,0.566
NAPO 41 [CHA],1,1,Curaray,0.992,Coca R - Napo R,0.981
OYA 2 A,-,2,Amelonado,0.633,n-a,-
OYA 4,-,2,Amelonado,0.583,n-a,-
PA 1 [PER],-,1,Maranon,0.437,n-a,-
PA 105 [PER],-,1,Maranon,0.989,Parinari I,0.994
PA 107 [PER],-,1,Maranon,0.942,Parinari III,0.918
PA 115 [PER],-,1,Maranon,0.994,Parinari I,0.994
PA 118 [PER],-,1,Maranon,0.971,Parinari IV,0.993
PA 12 [PER],-,1,Maranon,0.965,Parinari IV,0.943
PA 120 [PER],-,1,Maranon,0.995,Parinari I,0.993
PA 121 [PER],-,1,Maranon,0.996,Parinari I,0.985
PA 123 [PER],-,1,Maranon,0.994,Parinari I,0.554
PA 125 [PER],-,1,Maranon,0.953,Parinari III,0.896
PA 126 [PER],-,1,Maranon,0.968,Parinari IV,0.619
PA 128 [PER],-,1,Maranon,0.981,Parinari II,0.596
PA 13 [PER],-,1,Maranon,0.911,Parinari III,0.936
PA 134 [PER],-,1,Maranon,0.988,Parinari IV,0.987
PA 135 [PER],-,1,Maranon,0.986,Parinari IV,0.991
PA 136 [PER],-,1,Maranon,0.993,Parinari I,0.514
PA 137 [PER],-,1,Maranon,0.995,Parinari I,0.994
PA 139 [PER],-,1,Maranon,0.992,Parinari IV,0.985
PA 140 [PER],-,1,Maranon,0.996,Parinari I,0.995
PA 141 [PER],-,1,Maranon,0.993,Parinari IV,0.553
PA 149 [PER],-,1,Maranon,0.887,Parinari I,0.987
PA 15 [PER],-,1,Maranon,0.98,Parinari IV,0.951
PA 150 [PER],-,1,Maranon,0.981,Parinari IV,0.787
PA 151 [PER],-,1,Maranon,0.994,Parinari II,0.608
PA 157 [PER],-,1,Maranon,0.968,Parinari IV,0.710
PA 16 [PER],-,1,Maranon,0.884,Parinari III,0.626
PA 165 [PER],-,1,Maranon,0.994,Parinari I,0.901
PA 168 [PER],-,1,Maranon,0.993,Parinari I,0.631
PA 169 [PER],-,1,Maranon,0.992,Parinari IV,0.921
PA 171 [PER],-,1,Maranon,0.991,Parinari IV,0.911
PA 173 [PER],-,1,Maranon,0.939,Parinari IV,0.989
PA 175 [PER],-,1,Maranon,0.912,Parinari II,0.798
PA 176 [PER],-,1,Maranon,0.992,Parinari I,0.941
PA 179 [PER],-,1,Maranon,0.994,Parinari IV,0.945
PA 18 [PER],-,1,Maranon,0.969,Parinari III,0.956
PA 184 [PER],-,1,Maranon,0.976,Parinari IV,0.656
PA 185 [PER],-,1,Maranon,0.981,Parinari IV,0.991
PA 186 [PER],-,1,Maranon,0.99,Parinari II,0.442
PA 187 [PER],-,1,Maranon,0.57,n-a,-
PA 188 [PER],-,1,Maranon,0.894,Parinari IV,0.665
PA 189 [PER],-,1,Maranon,0.989,Parinari II,0.564
PA 191 [PER],-,1,Maranon,0.992,Parinari IV,0.582
PA 194 [PER],-,1,Maranon,0.733,Parinari III,0.913
PA 195 [PER],-,1,Maranon,0.979,Parinari I,0.842
PA 196 [PER],-,1,Maranon,0.929,Parinari IV,0.731
PA 2 [PER],-,1,Maranon,0.881,Parinari III,0.659
PA 20 [PER],-,1,Maranon,0.987,Parinari IV,0.859
PA 200 [PER],-,1,Maranon,0.973,Parinari IV,0.987
PA 202 [PER],-,1,Maranon,0.933,Parinari IV,0.707
PA 203 [PER],-,1,Maranon,0.994,Parinari I,0.982
PA 207 [PER],-,1,Maranon,0.994,Parinari IV,0.922
PA 211 [PER],-,1,Maranon,0.95,Parinari I,0.986
PA 218 [PER],-,1,Maranon,0.892,Parinari III,0.809
PA 24 [PER],-,1,Maranon,0.982,Parinari IV,0.810
PA 271 [PER],-,1,Maranon,0.994,Parinari I,0.976
PA 272 [PER],-,1,Maranon,0.769,Parinari III,0.986
PA 279 [PER],-,1,Maranon,0.995,Parinari I,0.990
PA 289 [PER],-,1,Maranon,0.868,Parinari I,0.959
PA 29 [PER],-,1,Maranon,0.93,Parinari IV,0.897
PA 293 [PER],-,1,Maranon,0.956,Parinari IV,0.757
PA 294 [PER],-,1,Maranon,0.991,Parinari II,0.846
PA 296 [PER],-,1,Maranon,0.963,Parinari IV,0.722
PA 297 [PER],-,1,Maranon,0.994,Parinari I,0.992
PA 299 [PER],-,1,Maranon,0.994,Parinari I,0.991
PA 3 [PER],-,1,Maranon,0.872,Parinari IV,0.648
PA 30 [PER],-,1,Maranon,0.961,Parinari II,0.590
PA 300 [PER],-,1,Maranon,0.985,Parinari II,0.543
PA 301 [PER],-,1,Maranon,0.989,Parinari I,0.994
PA 303 [PER],-,1,Maranon,0.995,Parinari I,0.993
PA 310 [PER],-,1,Maranon,0.957,Parinari II,0.524
PA 312 [PER],-,1,Maranon,0.866,Parinari III,0.921
PA 32 [PER],-,1,Maranon,0.988,Parinari II,0.893
PA 39 [PER],-,1,Maranon,0.941,Parinari IV,0.697
PA 4 [PER],-,1,Maranon,0.994,Parinari I,0.378
PA 41 [PER],-,1,Maranon,0.991,Parinari I,0.582
PA 45 [PER],-,1,Maranon,0.982,Parinari I,0.549
PA 46 [PER],-,1,Maranon,0.973,Parinari II,0.666
PA 49 [PER],-,1,Maranon,0.965,Parinari I,0.541
PA 51 [PER],-,1,Maranon,0.994,Parinari IV,0.860
PA 52 [PER],-,1,Maranon,0.993,Parinari II,0.986
PA 53 [PER],-,1,Maranon,0.981,Parinari II,0.969
PA 56 [PER],-,1,Maranon,0.994,Parinari I,0.994
PA 61 [PER],-,1,Maranon,0.953,Parinari III,0.850
PA 63 [PER],-,1,Maranon,0.973,Parinari IV,0.637
PA 65 [PER],-,1,Maranon,0.777,Parinari III,0.965
PA 67 [PER],-,1,Maranon,0.744,Parinari III,0.979
PA 70 [PER],-,1,Maranon,0.993,Parinari I,0.588
PA 71 [PER],-,1,Maranon,0.995,Parinari I,0.681
PA 72 [PER],-,1,Maranon,0.898,Parinari II,0.868
PA 73 [PER],-,1,Maranon,0.996,Parinari I,0.976
PA 82 [PER],-,1,Maranon,0.992,Parinari IV,0.955
PA 84 [PER],-,1,Maranon,0.994,Parinari IV,0.575
PA 88 [PER],-,1,Maranon,0.962,Parinari IV,0.941
PA 90 [PER],-,1,Maranon,0.977,Parinari IV,0.721
PA 95 [PER],-,1,Maranon,0.965,Parinari II,0.979
PA 98 [PER],-,1,Maranon,0.935,Parinari I,0.436
PER 2,-,1,Criollo,0.998,n-a,0.925
PINA 1,-,2,Guiana,0.768,all,0.970
POUND 1 /B,-,1,Nanay,0.992,Nanay I,0.984
POUND 10 /B,-,1,Nanay,0.994,Nanay III,0.788
POUND 12 /A,-,2,Iquitos,0.645,n-a,-
POUND 14 /A,-,2,Iquitos,0.627,n-a,-
POUND 15 /A,-,1,Nanay,0.998,Nanay I,0.588
POUND 16 /B,-,1,Nanay,0.651,n-a,-
POUND 2 /A,-,1,Nanay,0.998,Nanay I,0.993
POUND 2 /B,-,1,Nanay,0.995,Nanay I,0.986
POUND 21 /B,-,2,Iquitos,0.668,n-a,-
POUND 25 /C,-,1,Nanay,0.995,all,0.489
POUND 26 /C,-,1,Nanay,0.967,Nanay III,0.464
POUND 26 /C,-,1,Nanay,0.998,Nanay I,0.516
POUND 27 /C,-,1,Maranon,0.673,n-a,-
POUND 31 /C,-,1,Contamana,0.987,Scavina,0.793
POUND 32 /A,-,1,Nanay,0.997,Nanay I,0.993
POUND 5 /C,-,1,Nanay,0.993,Nanay III,0.578
POUND 7 /C,-,1,Nanay,0.545,n-a,-
POUND 8 /C,-,1,Nanay,0.998,Nanay I,0.992
POUND 9 /A,-,1,Nanay,0.996,Nanay III,0.663
RANCHITO 1,-,1,Criollo,0.998,Lacandona,0.990
RB 33 [BRA],1,1,Purus,0.995,Acre R,0.985
RB 37 [BRA],2,1,Purus,0.99,Acre R,0.980
RB 38 [BRA],6,1,Purus,0.994,Acre R,0.993
RB 39 [BRA],1,1,Purus,0.994,Acre R,0.993
RB 40 [BRA],-,1,Purus,0.993,Acre R,0.984
RB 41 [BRA],1,1,Purus,0.996,Acre R,0.726
RB 42 [BRA],5,1,Purus,0.995,Acre R,0.997
RB 45 [BRA],1,1,Purus,0.993,Acre R,0.784
RB 46 [BRA],4,1,Purus,0.996,Acre R,0.897
RB 47 [BRA],3,1,Purus,0.994,Acre R,0.963
RB 48 [BRA],1,1,Purus,0.996,Acre R,0.988
SAN MIGUEL 8 [CHA],-,1,Curaray,0.658,n-a,-
SAN MIGUEL 9 [CHA],-,1,Curaray,0.54,n-a,-
SAUCITO 1,-,1,Criollo,0.997,Lacandona,0.988
SCA 11,-,1,Contamana,0.994,Scavina,0.992
SCA 12,-,1,Contamana,0.996,Scavina,0.995
SCA 19,-,1,Contamana,0.996,Scavina,0.998
SCA 3,-,1,Contamana,0.997,Scavina,0.997
SCA 5,-,1,Contamana,0.996,Scavina,0.997
SCA 6,2,1,Contamana,0.997,Scavina,0.997
SCA 7,-,1,Contamana,0.996,Scavina,0.998
SCA 8,-,1,Contamana,0.997,Scavina,0.994
SCA 9,-,1,Contamana,0.991,Scavina,0.969
SIAL 169,-,2,Amelonado,0.997,Amelonado Type II,0.993
SIAL 20,-,2,Amelonado,0.996,Amelonado Type II,0.972
SIAL 283,-,2,Amelonado,0.997,Amelonado Type II,0.979
SIAL 325,-,2,Amelonado,0.997,Amelonado Type I,0.782
SIAL 407,-,2,Amelonado,0.997,Amelonado Type I,0.968
SIAL 505,-,2,Amelonado,0.997,Amelonado Type II,0.991
SIAL 512,-,2,Amelonado,0.996,Amelonado Type I,0.585
SIAL 543,-,2,Amelonado,0.997,Amelonado Type II,0.996
SIAL 70,-,2,Amelonado,0.997,Amelonado Type I,0.769
SIAL 84,-,2,Amelonado,0.997,Amelonado Type II,0.962
SIAL 88,-,2,Amelonado,0.998,Amelonado Type II,0.939
SIC 19,-,2,Amelonado,0.997,Amelonado Type II,0.912
SIC 2,-,2,Amelonado,0.997,Amelonado Type I,0.774
SIC 23,-,2,Amelonado,0.997,Amelonado Type II,0.728
SIC 328,-,2,Amelonado,0.997,Amelonado Type II,0.994
SIC 662,-,2,Amelonado,0.997,Amelonado Type I,0.825
SIC 801,-,2,Amelonado,0.997,Amelonado Type I,0.995
SIC 802,-,2,Amelonado,0.997,Amelonado Type I,0.996
SIC 806,-,2,Amelonado,0.993,Amelonado Type I,0.993
SIC 961,-,2,Amelonado,0.996,Amelonado Type I,0.992
SILECIA 1 [ECU],-,1,Curaray,0.811,Curaray R - Napo R,0.652
SILECIA 5 [ECU],-,1,Curaray,0.394,n-a,-
SJU 1,-,1,Criollo,0.993,n-a,0.953
SJU 3,-,1,Criollo,0.998,n-a,0.781
SJU 6,-,1,Criollo,0.996,n-a,0.983
SPEC 41 /6-18,-,3,Amelonado,0.584,n-a,-
SPEC 54 /1,-,3,Iquitos,0.549,n-a,-
STA MARIA 2,-,1,Criollo,0.998,Lacandona,0.980
TAP 1 [CHA],-,2,Nacional,0.498,n-a,-
TAP 2 [CHA],-,1,Contamana,0.527,n-a,-
TAP 2 [CHA],-,2,Nacional,0.603,n-a,-
TAP 3 [CHA],-,1,Contamana,0.522,n-a,-
TAP 5 [CHA],-,2,Nacional,0.674,n-a,-
TAP 7 [CHA],-,2,Nacional,0.667,n-a,-
TAP 8 [CHA],-,2,Nacional,0.661,n-a,-
TC 1,-,1,Criollo,0.996,n-a,0.992
TC 3,-,1,Criollo,0.995,n-a,0.990
TC 9,-,1,Criollo,0.996,n-a,0.992
THCA,-,1,Criollo,0.996,Lacandona,0.927
TIPUTINI 1 [CHA],-,1,Curaray,0.561,n-a,-
TIPUTINI 4 [CHA],-,1,Curaray,0.785,Curaray R - Napo R,0.705
TIPUTINI 6 [CHA],-,1,Curaray,0.675,n-a,-
U 1 [PER],-,1,Contamana,0.995,Scavina,0.935
U 10 [PER],-,2,Iquitos,0.301,n-a,-
U 11 [PER],-,1,Contamana,0.996,Scavina,0.994
U 12 [PER],-,1,Contamana,0.38,n-a,-
U 15 [PER],-,1,Contamana,0.973,all,0.536
U 19 [PER],-,1,Contamana,0.914,Scavina,0.513
U 2 [PER],-,2,Contamana,0.509,n-a,-
U 20 [PER],-,1,Contamana,0.981,all,0.688
U 21 [PER],-,1,Contamana,0.51,n-a,-
U 22 [PER],-,2,Nacional,0.594,n-a,-
U 24 [PER],-,1,Contamana,0.909,all,0.665
U 26 [PER],-,2,Nacional,0.634,n-a,-
U 28 [PER],-,1,Contamana,0.986,all,0.802
U 3 [PER],-,1,Contamana,0.996,Scavina,0.990
U 30 [PER],-,3,Iquitos,0.44,n-a,-
U 31 [PER],-,1,Contamana,0.789,all,0.522
U 32 [PER],-,2,Nacional,0.57,n-a,-
U 35 [PER],-,1,Contamana,0.996,Scavina,0.996
U 36 [PER],-,1,Contamana,0.994,Scavina,0.836
U 37 [PER],-,1,Contamana,0.995,Scavina,0.945
U 38 [PER],-,1,Contamana,0.843,all,0.994
U 39 [PER],-,1,Contamana,0.988,Scavina,0.982
U 4 [PER],-,1,Contamana,0.996,Scavina,0.993
U 41 [PER],-,1,Contamana,0.988,Scavina,0.779
U 43 [PER],-,2,Contamana,0.991,Vilcanota,0.998
U 45 [PER],-,2,Contamana,0.992,Scavina,0.529
U 47 [PER],-,2,Contamana,0.955,Vilcanota,0.997
U 48 [PER],-,1,Contamana,0.996,Scavina,0.993
U 49 [PER],-,1,Contamana,0.997,Scavina,0.997
U 5 [PER],-,1,Contamana,0.993,Scavina,0.660
U 51 [PER],-,1,Contamana,0.996,Scavina,0.994
U 54 [PER],-,1,Contamana,0.99,Scavina,0.921
U 55 [PER],-,1,Contamana,0.996,Scavina,0.992
U 56 [PER],-,2,Contamana,0.987,Vilcanota,0.999
U 57 [PER],-,1,Contamana,0.968,Scavina,0.796
U 58 [PER],-,2,Contamana,0.704,all,0.996
U 59 [PER],-,2,Contamana,0.744,all,0.997
U 6 [PER],-,1,Contamana,0.997,Scavina,0.997
U 66 [PER],-,2,Contamana,0.989,Vilcanota,0.989
U 68 [PER],-,1,Contamana,0.549,n-a,-
U 69 [PER],-,2,Contamana,0.95,Vilcanota,0.998
U 7 [PER],-,2,Contamana,0.939,Vilcanota,0.997
U 70 [PER],-,2,Contamana,0.995,Vilcanota,0.999
U 9 [PER],-,1,Nanay,0.468,n-a,-
VILLANO 2 [CHA],3,1,Curaray,0.888,Curaray R - Napo R,0.547
YAL 1 A,-,2,Amelonado,0.681,n-a,-
YAL 3,-,2,Guiana,0.583,n-a,-
YAL 5 A,-,2,Amelonado,0.498,n-a,-
YAL 6 A,-,2,Guiana,0.616,n-a,-
YAL 7 A,-,2,Amelonado,0.641,n-a,-
