Clone name,Accession,Pathogen,Species,Reaction,Infection,Info,Part,Notes
UF 712 x Tree81,tree number 24,Phytophthora,P. palmivora,susceptible,3.1,Described as highly susceptible,5 month old detached pod (reaction),Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ARF 37,tree number 12,Phytophthora,P. palmivora,susceptible,0.0,Described as highly susceptible,5 month old detached pod (reaction),Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ARF 37,tree number 26,Phytophthora,P. palmivora,susceptible,1.6,Described as highly susceptible,5 month old detached pod (reaction),Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ARF 37,tree number 28,Phytophthora,P. palmivora,susceptible,0.0,Described as highly susceptible,5 month old detached pod (reaction),Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ARF 37,tree number 31,Phytophthora,P. palmivora,susceptible,0.0,Described as highly susceptible,5 month old detached pod (reaction),Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ARF 37,tree number 32,Phytophthora,P. palmivora,susceptible,0.0,Described as highly susceptible,5 month old detached pod (reaction),Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ICS 43,tree number 30,Phytophthora,P. palmivora,susceptible,1.1,Described as highly susceptible,5 month old detached pod (reaction),Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x P 23 [MEX],tree number 15,Phytophthora,P. palmivora,-,0.0,-,-,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712,-,Frosty Pod,-,-,12.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x CC 137,tree number 3,Frosty Pod,-,-,16.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x CC 137,tree number 5,Frosty Pod,-,-,26.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x CC 137,tree number 21,Frosty Pod,-,-,33.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x CC 137,tree number 27,Frosty Pod,-,-,27.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x CC 137,tree number 30,Frosty Pod,-,-,26.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x CC 124,tree number 23,Frosty Pod,-,-,23.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x CC 124,tree number 24,Frosty Pod,-,-,28.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x CC 124,tree number 30,Frosty Pod,-,-,16.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x CC 124,tree number 31,Frosty Pod,-,-,12.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x CATIE 1000,tree number 7,Frosty Pod,-,-,15.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x Tree81,tree number 22,Frosty Pod,-,-,10.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x Tree81,tree number 24,Frosty Pod,-,-,25.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ARF 37,tree number 12,Frosty Pod,-,-,5.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ARF 37,tree number 26,Frosty Pod,-,-,22.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ARF 37,tree number 28,Frosty Pod,-,-,17.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ARF 37,tree number 31,Frosty Pod,-,-,34.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ARF 37,tree number 32,Frosty Pod,-,-,7.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x ICS 43,tree number 30,Frosty Pod,-,-,19.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
UF 712 x P 23 [MEX],tree number 15,Frosty Pod,-,-,15.0,-,Field reaction,Percentage infection is the natural incidence of the disease observed in the field over 4 to 5 years.
